f1-weight,inference-time-weight,memory-weight,objective-function,population_size,number_of_generation,mutation_rate,optimal_parent_count,ga_best_params,ga_best_param_idx,ga_best_fitness,ga_best_f1,ga_best_inference_time,ga_best_memory,ga_iteration_count,opt_params,opt_param_idx,opt_f1,opt_inference_time,opt_memory,f1_diff,f1_diff.1,memory_diff
100,0,0,max-normalized,5,5,0.05,1,"{'hidden_layer_sizes': (100, 100, 100), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'adaptive', 'warm_start': True}",4125,0.5029066197077338,0.9675085651,1.733642578,228.0,30,"{'hidden_layer_sizes': (100, 50), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'adaptive', 'warm_start': True}",1119,0.9788230568,5.65625,250.0,0.0113144916999999,3.922607422,22.0
100,0,0,max-normalized,5,5,0.05,2,"{'hidden_layer_sizes': (50, 50, 50), 'activation': 'relu', 'solver': 'lbfgs', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': True}",2045,0.5019547205095409,0.9711995584,3.104492188,239.5,30,"{'hidden_layer_sizes': (100, 50), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'adaptive', 'warm_start': True}",1119,0.9788230568,5.65625,250.0,0.0076234983999999,2.551757812,10.5
100,0,0,max-normalized,5,5,0.05,2,"{'hidden_layer_sizes': (150, 150, 50), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': False}",5972,0.5035713206452517,0.9649394584,2.140869141,228.4,30,"{'hidden_layer_sizes': (100, 50), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'adaptive', 'warm_start': True}",1119,0.9788230568,5.65625,250.0,0.0138835984,3.515380859,21.599999999999994
100,0,0,max-normalized,5,5,0.05,2,"{'hidden_layer_sizes': (150, 50, 100), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': False}",5168,0.5009737092923071,0.9750181102,9.172119141,259.4,30,"{'hidden_layer_sizes': (100, 50), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'adaptive', 'warm_start': True}",1119,0.9788230568,5.65625,250.0,0.0038049466,3.515869141,9.399999999999975
100,0,0,max-normalized,5,5,0.1,1,"{'hidden_layer_sizes': (100, 150, 150), 'activation': 'identity', 'solver': 'lbfgs', 'alpha': 0.001, 'learning_rate': 'adaptive', 'warm_start': True}",4743,0.5045116483052685,0.9613166012,5.365722656,260.7,30,"{'hidden_layer_sizes': (100, 50), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'adaptive', 'warm_start': True}",1119,0.9788230568,5.65625,250.0,0.0175064556,0.290527344,10.699999999999989
100,0,0,max-normalized,5,5,0.1,2,"{'hidden_layer_sizes': (150, 150), 'activation': 'relu', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",1873,0.5019745864511206,0.9711223851,5.532226563,251.4,30,"{'hidden_layer_sizes': (100, 50), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'adaptive', 'warm_start': True}",1119,0.9788230568,5.65625,250.0,0.0077006716999999,0.1240234369999999,1.4000000000000057
100,0,0,max-normalized,5,5,0.1,2,"{'hidden_layer_sizes': (100, 50), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'adaptive', 'warm_start': True}",1053,0.5035648208861253,0.9649645475,1.32421875,228.2,30,"{'hidden_layer_sizes': (100, 50), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'adaptive', 'warm_start': True}",1119,0.9788230568,5.65625,250.0,0.0138585092999999,4.33203125,21.80000000000001
100,0,0,max-normalized,5,5,0.1,2,"{'hidden_layer_sizes': (150, 150, 100), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",6153,0.5016284636742449,0.9724678441,6.849121094,265.9,30,"{'hidden_layer_sizes': (100, 50), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'adaptive', 'warm_start': True}",1119,0.9788230568,5.65625,250.0,0.0063552127,1.192871094,15.899999999999975
100,0,0,max-normalized,5,5,0.15,1,"{'hidden_layer_sizes': (50, 150, 50), 'activation': 'relu', 'solver': 'lbfgs', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': True}",3019,0.5019542539291671,0.971201371,3.839355469,253.1,30,"{'hidden_layer_sizes': (100, 50), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'adaptive', 'warm_start': True}",1119,0.9788230568,5.65625,250.0,0.0076216858,1.816894531,3.0999999999999943
100,0,0,max-normalized,5,5,0.15,2,"{'hidden_layer_sizes': (150, 50, 50), 'activation': 'relu', 'solver': 'lbfgs', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",4962,0.5013072591521233,0.9737181022,7.535644531,250.4,30,"{'hidden_layer_sizes': (100, 50), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'adaptive', 'warm_start': True}",1119,0.9788230568,5.65625,250.0,0.0051049546,1.879394531,0.4000000000000057
100,0,0,max-normalized,5,5,0.15,2,"{'hidden_layer_sizes': (150, 150, 100), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'invscaling', 'warm_start': False}",6144,0.5016260963571875,0.9724770528,7.103271484,267.6,30,"{'hidden_layer_sizes': (100, 50), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'adaptive', 'warm_start': True}",1119,0.9788230568,5.65625,250.0,0.006346004,1.4470214840000004,17.600000000000023
100,0,0,max-normalized,5,5,0.15,2,"{'hidden_layer_sizes': (150, 50, 50), 'activation': 'relu', 'solver': 'lbfgs', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",4962,0.5013072591521233,0.9737181022,7.535644531,250.4,30,"{'hidden_layer_sizes': (100, 50), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'adaptive', 'warm_start': True}",1119,0.9788230568,5.65625,250.0,0.0051049546,1.879394531,0.4000000000000057
100,0,0,max-normalized,5,5,0.2,1,"{'hidden_layer_sizes': (100, 100), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",1279,0.5019264557112735,0.9713093693,4.143798828,251.3,30,"{'hidden_layer_sizes': (100, 50), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'adaptive', 'warm_start': True}",1119,0.9788230568,5.65625,250.0,0.0075136875,1.5124511719999996,1.3000000000000114
100,0,0,max-normalized,5,5,0.2,2,"{'hidden_layer_sizes': (100, 150), 'activation': 'relu', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",1387,0.5016471703189116,0.9723950796,4.478027344,250.2,30,"{'hidden_layer_sizes': (100, 50), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'adaptive', 'warm_start': True}",1119,0.9788230568,5.65625,250.0,0.0064279771999999,1.178222656,0.1999999999999886
