idx,f1-weight,inference-time-weight,memory-weight,objective-function,number_of_particle,number_of_iteration,pso_best_params,pso_best_param_idx,pso_best_fitness,pso_best_f1,pso_best_inference_time,pso_best_memory,pso_iteration_count,opt_params,opt_param_idx,opt_f1,opt_inference_time,opt_memory,f1_diff,f1_diff,memory_diff
1,34,33,33,max-normalized,5,10,"{'hidden_layer_sizes': (150, 150, 150), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'invscaling', 'warm_start': False}",6180,0.9635071259846656,0.9536234352,1.76953125,228.7,66,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.016390840000000018,0.8083496094,0.5999999999999943
2,34,33,33,max-normalized,5,20,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",145,0.968338812837961,0.9610900176,2.208984375,232.6,126,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.00892425760000004,1.2478027344,4.5
3,34,33,33,max-normalized,5,30,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",36,0.954885769168861,0.9598777931,0.9057617188,227.6,186,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.010136482100000066,0.055419921799999994,0.5
4,34,33,33,max-normalized,5,40,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",1,0.9700681866916222,0.9159394302,0.9270019531,228.4,246,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.05407484500000004,0.0341796875,0.30000000000001137
5,34,33,33,max-normalized,5,50,"{'hidden_layer_sizes': (150, 150, 150), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': False}",6188,0.9656109742470826,0.9448406241,1.761962891,228.1,306,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.025173651100000027,0.8007812504,0.0
6,34,33,33,max-normalized,10,10,"{'hidden_layer_sizes': (150, 150, 150), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",6175,0.9614755908467487,0.9599369053,1.805908203,228.5,121,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.010077369900000077,0.8447265624,0.4000000000000057
7,34,33,33,max-normalized,10,20,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'invscaling', 'warm_start': True}",131,0.956497238313599,0.9599077955,1.004394531,228.5,231,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.010106479700000004,0.04321289039999998,0.4000000000000057
8,34,33,33,max-normalized,10,30,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'invscaling', 'warm_start': False}",24,0.9546505344565092,0.9609986992,0.9069824219,227.7,341,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.009015576000000025,0.054199218699999996,0.4000000000000057
9,34,33,33,max-normalized,10,40,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'lbfgs', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': True}",53,0.9623187513139763,0.9560713728,1.069335938,232.2,451,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.013942902400000068,0.10815429740000004,4.099999999999994
10,34,33,33,max-normalized,10,50,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'invscaling', 'warm_start': False}",132,0.9537911843906545,0.9661410647,0.9951171875,227.9,561,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.0038732105000000017,0.0339355469,0.19999999999998863
