idx,no_of_layers,l1,l2,l3,activation,solver,learning_rate,alpha,warm_start,precision,recall,f1,training time (ms),inference time (ms),train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
1,1,50,0,0,identity,sgd,constant,0.01,True,0.9177985745,0.9125,0.9117074254,3466.309326,2.792480469,3471083652.0,2930793,10.5,0.0,154.2
2,1,50,0,0,identity,sgd,constant,0.01,False,0.9201851786,0.915,0.9139168874,3512.790771,2.642822266,3389209195.0,2897063,8.4,0.0,161.0
3,1,50,0,0,identity,sgd,adaptive,0.01,True,0.9177876169,0.915,0.9137870826,3180.855225,2.617431641,3485776877.0,2937765,10.5,0.0,161.8
4,1,50,0,0,identity,sgd,adaptive,0.01,False,0.9099213133,0.90625,0.9051900895,3202.138428,2.610839844,3338018608.0,2960163,14.7,0.0,156.3
5,1,50,0,0,identity,sgd,invscaling,0.01,True,0.1747820059,0.19125,0.1681987871,3324.33374,2.705078125,3498587047.0,2869857,14.0,0.5,158.4
6,1,50,0,0,identity,sgd,invscaling,0.01,False,0.2483432289,0.25875,0.2399095459,3406.129395,2.615966797,3382126250.0,2946656,10.5,0.0,151.7
7,1,50,0,0,identity,sgd,constant,0.001,True,0.9228553724,0.91875,0.9178688819,3247.817627,2.640380859,3502284459.0,2911678,6.5,0.0,150.4
8,1,50,0,0,identity,sgd,constant,0.001,False,0.9067567104,0.90375,0.9022977656,3196.571045,2.663330078,3405364976.0,2954781,8.5,0.0,148.1
9,1,50,0,0,identity,sgd,adaptive,0.001,True,0.915505678,0.9125,0.9113634536,3467.632568,2.7109375,3372177435.0,2851035,10.6,0.0,155.8
10,1,50,0,0,identity,sgd,adaptive,0.001,False,0.9189595815,0.9175,0.9165149124,3470.580322,2.700683594,3383208196.0,2911450,10.4,0.0,159.2
11,1,50,0,0,identity,sgd,invscaling,0.001,True,0.1841789352,0.205,0.1744953442,3200.168945,2.6875,3437012359.0,2959705,14.4,0.0,158.0
12,1,50,0,0,identity,sgd,invscaling,0.001,False,0.1914526407,0.23875,0.2025931578,3311.319092,2.643310547,3381010531.0,2916343,10.4,0.0,155.5
13,1,50,0,0,identity,sgd,constant,0.0001,True,0.9235649626,0.92125,0.9204450377,3305.003906,2.631591797,3376325867.0,2973783,12.5,0.0,155.0
14,1,50,0,0,identity,sgd,constant,0.0001,False,0.9188130032,0.915,0.9139641655,3428.144043,2.685546875,3383095161.0,2955733,18.5,0.0,164.4
15,1,50,0,0,identity,sgd,adaptive,0.0001,True,0.9245722762,0.92,0.9193099068,3481.157227,2.905273438,3378053234.0,2853204,14.5,0.0,156.4
16,1,50,0,0,identity,sgd,adaptive,0.0001,False,0.9208206273,0.9175,0.9160493884,3439.431152,2.643066406,3418572960.0,2887635,14.4,0.0,157.3
17,1,50,0,0,identity,sgd,invscaling,0.0001,True,0.1560562101,0.18625,0.15922769,3361.693115,2.694824219,3398327125.0,2881266,22.5,0.0,166.4
18,1,50,0,0,identity,sgd,invscaling,0.0001,False,0.192175354,0.185,0.162399444,3414.596191,2.673339844,3392513445.0,2901522,18.7,22.0,185.1
19,1,50,0,0,identity,adam,constant,0.01,True,0.9552842385,0.95375,0.9534931034,3743.655029,2.674316406,3827480044.0,2965169,14.5,0.0,164.0
20,1,50,0,0,identity,adam,constant,0.01,False,0.9580631988,0.95625,0.9560001852,3767.921143,2.747314453,3795777696.0,2927312,12.4,0.0,157.2
21,1,50,0,0,identity,adam,adaptive,0.01,True,0.9595484851,0.9575,0.9574708803,3603.441406,2.648681641,3823326422.0,2903951,12.6,0.0,161.6
22,1,50,0,0,identity,adam,adaptive,0.01,False,0.960762053,0.95875,0.9585295062,3686.394043,2.684082031,3767706573.0,2929487,30.4,0.0,180.6
23,1,50,0,0,identity,adam,invscaling,0.01,True,0.959431414,0.9575,0.9571920092,3685.331055,2.651611328,3830828719.0,2968014,14.5,0.0,163.1
24,1,50,0,0,identity,adam,invscaling,0.01,False,0.9583672166,0.95625,0.9561747567,3589.246826,2.670410156,3814933981.0,2857230,18.4,0.0,160.5
25,1,50,0,0,identity,adam,constant,0.001,True,0.9604846401,0.95875,0.9586187311,3816.056641,2.680175781,3790506933.0,2878125,40.7,0.0,184.7
26,1,50,0,0,identity,adam,constant,0.001,False,0.9581172867,0.95625,0.9559815184,3868.237549,2.681640625,3794161148.0,2894284,10.4,0.0,155.5
27,1,50,0,0,identity,adam,adaptive,0.001,True,0.9526991314,0.95,0.9496080041,3743.620361,2.631347656,3791846449.0,2936909,20.5,0.0,166.4
28,1,50,0,0,identity,adam,adaptive,0.001,False,0.9577601024,0.95625,0.9559404996,3869.387939,2.667480469,3788530728.0,2918796,6.4,0.0,159.1
29,1,50,0,0,identity,adam,invscaling,0.001,True,0.9590075744,0.9575,0.957293842,3697.343994,2.649902344,3797028977.0,2918572,10.4,0.0,156.1
30,1,50,0,0,identity,adam,invscaling,0.001,False,0.9600685345,0.95875,0.9585531128,4077.664307,2.699951172,3815929955.0,3463021,16.5,0.0,163.4
31,1,50,0,0,identity,adam,constant,0.0001,True,0.9602706852,0.95875,0.9585757778,3621.918701,2.636230469,3809068430.0,2901002,18.7,0.0,161.4
32,1,50,0,0,identity,adam,constant,0.0001,False,0.957494572,0.95625,0.9559350201,3555.330322,2.620117188,3791541811.0,2918155,10.4,0.0,153.9
33,1,50,0,0,identity,adam,adaptive,0.0001,True,0.953706172,0.9525,0.9520688037,3560.383301,2.591552734,3788668873.0,2811497,18.4,0.0,159.1
34,1,50,0,0,identity,adam,adaptive,0.0001,False,0.9599625701,0.95875,0.9585908452,3555.518799,2.594726563,3804802745.0,2968234,12.5,0.0,155.2
35,1,50,0,0,identity,adam,invscaling,0.0001,True,0.9576574751,0.95625,0.9559317961,3554.375732,2.622802734,3803092836.0,2986249,8.6,0.0,158.8
36,1,50,0,0,identity,adam,invscaling,0.0001,False,0.9589223199,0.9575,0.9572965137,3620.911865,2.644287109,3812914122.0,2944586,12.6,0.0,163.2
37,1,50,0,0,identity,lbfgs,constant,0.01,True,0.9584370085,0.9575,0.95739741,1808.831299,2.727539063,1784304870.0,3017065,11.6,0.0,153.5
38,1,50,0,0,identity,lbfgs,constant,0.01,False,0.9589444489,0.9575,0.9574177908,1824.055664,2.740722656,1869733768.0,2969128,15.6,0.0,159.1
39,1,50,0,0,identity,lbfgs,adaptive,0.01,True,0.9519922544,0.95125,0.9511093188,1745.600586,2.72265625,1846834028.0,3048041,11.4,0.0,162.5
40,1,50,0,0,identity,lbfgs,adaptive,0.01,False,0.9628494117,0.96125,0.9609486149,1836.300293,2.778076172,1828640551.0,2904328,12.2,0.0,156.0
41,1,50,0,0,identity,lbfgs,invscaling,0.01,True,0.9501451253,0.94875,0.948645854,1693.77124,2.676757813,1849398871.0,2929960,13.8,0.0,162.3
42,1,50,0,0,identity,lbfgs,invscaling,0.01,False,0.9496288126,0.94875,0.9485418747,1731.03125,2.731201172,1814113680.0,2953640,11.5,0.0,164.6
43,1,50,0,0,identity,lbfgs,constant,0.001,True,0.9638138812,0.9625,0.9623060015,1832.135254,2.740478516,1847140554.0,2963944,11.4,0.0,161.7
44,1,50,0,0,identity,lbfgs,constant,0.001,False,0.9547246709,0.95375,0.9534595704,1783.843018,2.721923828,1868065190.0,3070280,11.4,0.0,157.7
45,1,50,0,0,identity,lbfgs,adaptive,0.001,True,0.9582538412,0.9575,0.9572937819,1729.428223,2.700439453,1815825801.0,2955016,13.2,0.0,160.3
46,1,50,0,0,identity,lbfgs,adaptive,0.001,False,0.953480384,0.9525,0.9523234593,1834.223877,2.711425781,1812623279.0,2975080,11.4,0.0,155.7
47,1,50,0,0,identity,lbfgs,invscaling,0.001,True,0.9619529879,0.96125,0.961022983,1679.451172,2.734619141,1825049666.0,3057031,11.4,0.0,154.9
48,1,50,0,0,identity,lbfgs,invscaling,0.001,False,0.9506108618,0.95,0.9497556829,1728.63501,2.749755859,1816117507.0,2914407,11.5,0.0,167.0
49,1,50,0,0,identity,lbfgs,constant,0.0001,True,0.9568711149,0.95625,0.9561621295,1702.734131,2.690429688,1786736504.0,2997927,42.6,0.0,183.5
50,1,50,0,0,identity,lbfgs,constant,0.0001,False,0.9542431614,0.95375,0.9534276532,1889.067383,2.716552734,1750177889.0,2987815,13.7,0.0,163.4
51,1,50,0,0,identity,lbfgs,adaptive,0.0001,True,0.9546692234,0.95375,0.9535924823,1704.488525,2.780517578,1860018471.0,3063879,13.5,0.0,158.2
52,1,50,0,0,identity,lbfgs,adaptive,0.0001,False,0.9621618024,0.96125,0.9610559745,1767.490479,1.959960938,1856845412.0,2966694,13.5,0.0,156.7
53,1,50,0,0,identity,lbfgs,invscaling,0.0001,True,0.9589766419,0.9575,0.9573962233,1822.14624,2.734619141,1796908803.0,2987271,13.5,0.0,160.7
54,1,50,0,0,identity,lbfgs,invscaling,0.0001,False,0.9570110987,0.95625,0.9561563709,1749.696289,2.740722656,1816295035.0,2974406,39.3,0.0,180.2
55,1,50,0,0,relu,sgd,constant,0.01,True,0.9038149407,0.9,0.8993228502,3344.662109,2.639404297,3629260104.0,2987751,8.4,0.0,154.6
56,1,50,0,0,relu,sgd,constant,0.01,False,0.9071446931,0.905,0.9034776364,3365.164795,2.630615234,3588125724.0,2869625,34.5,0.0,177.6
57,1,50,0,0,relu,sgd,adaptive,0.01,True,0.904491347,0.9,0.89946225,3368.028076,2.625244141,3621235968.0,3039801,32.5,0.0,173.4
58,1,50,0,0,relu,sgd,adaptive,0.01,False,0.9180076914,0.91375,0.9126356313,3327.711182,2.633056641,3577874158.0,3008508,24.4,0.0,172.7
59,1,50,0,0,relu,sgd,invscaling,0.01,True,0.1322662326,0.19125,0.1310118478,3324.14917,2.62890625,3655565226.0,2952543,10.5,0.0,166.0
60,1,50,0,0,relu,sgd,invscaling,0.01,False,0.1117550608,0.16,0.09476357896,3340.347412,2.681884766,3629974311.0,3103136,8.5,0.0,155.1
61,1,50,0,0,relu,sgd,constant,0.001,True,0.919215207,0.91625,0.9156937532,3318.966797,2.66796875,3632310235.0,2929667,10.5,0.0,157.4
62,1,50,0,0,relu,sgd,constant,0.001,False,0.9256851542,0.92125,0.9199991905,3317.505615,2.652832031,3607869973.0,3055876,10.5,0.0,162.6
63,1,50,0,0,relu,sgd,adaptive,0.001,True,0.9076236243,0.905,0.9035504094,3363.977539,2.619140625,3574039825.0,2900135,8.7,0.0,152.6
64,1,50,0,0,relu,sgd,adaptive,0.001,False,0.9140664578,0.91,0.9088169933,3367.864258,2.661132813,3594819367.0,2948776,32.5,0.0,178.4
65,1,50,0,0,relu,sgd,invscaling,0.001,True,0.1152893041,0.165,0.1166013026,3476.345947,2.686035156,3616200032.0,3060969,32.7,0.0,177.0
66,1,50,0,0,relu,sgd,invscaling,0.001,False,0.08401062146,0.11,0.07477026395,3314.806396,2.611083984,3649591730.0,2918987,12.7,0.0,158.6
67,1,50,0,0,relu,sgd,constant,0.0001,True,0.9131217209,0.91,0.9082238739,3333.004639,2.587402344,3563650848.0,2999532,14.4,0.0,157.5
68,1,50,0,0,relu,sgd,constant,0.0001,False,0.91270423,0.91125,0.9102204783,3314.724609,2.627197266,3604650867.0,2994093,8.8,0.0,159.7
69,1,50,0,0,relu,sgd,adaptive,0.0001,True,0.9102740709,0.90875,0.9060407206,3309.919678,2.588134766,3613797770.0,3065998,8.6,0.0,158.4
70,1,50,0,0,relu,sgd,adaptive,0.0001,False,0.9100858211,0.90625,0.9051703786,3339.908936,2.619628906,3597862887.0,2944624,14.6,0.0,160.1
71,1,50,0,0,relu,sgd,invscaling,0.0001,True,0.1120653052,0.15875,0.1087117603,3333.616211,2.787109375,3590890554.0,2967376,12.5,0.0,162.9
72,1,50,0,0,relu,sgd,invscaling,0.0001,False,0.1124374186,0.10375,0.06841137004,3331.440186,2.709960938,3705525571.0,3501135,8.5,0.0,157.6
73,1,50,0,0,relu,adam,constant,0.01,True,0.9622200028,0.96125,0.9610148233,3725.869385,2.678466797,3980299238.0,2939155,12.4,0.0,154.6
74,1,50,0,0,relu,adam,constant,0.01,False,0.9633195424,0.9625,0.9624486975,3777.911621,2.649414063,4114383720.0,2944051,38.5,0.0,179.4
75,1,50,0,0,relu,adam,adaptive,0.01,True,0.957766885,0.95625,0.9561406024,3737.083252,2.666015625,4031152226.0,2912660,8.5,0.0,152.8
76,1,50,0,0,relu,adam,adaptive,0.01,False,0.9634291855,0.9625,0.9623713082,3747.037598,2.646972656,4102975226.0,2916341,10.3,2.0,157.3
77,1,50,0,0,relu,adam,invscaling,0.01,True,0.9685798265,0.9675,0.9674444626,3730.899902,2.669189453,3978630866.0,2854518,12.4,0.0,157.5
78,1,50,0,0,relu,adam,invscaling,0.01,False,0.9624520076,0.96125,0.9611525499,3742.174316,2.647949219,3998078956.0,2933302,16.7,0.0,165.9
79,1,50,0,0,relu,adam,constant,0.001,True,0.9635474646,0.9625,0.9623473245,3736.093018,2.666015625,4051424881.0,2908471,10.6,0.0,157.9
80,1,50,0,0,relu,adam,constant,0.001,False,0.9632609478,0.9625,0.9623434766,3728.335205,2.632080078,4024284897.0,3031735,12.4,0.0,154.8
81,1,50,0,0,relu,adam,adaptive,0.001,True,0.9624708635,0.96125,0.9610747202,3816.086914,2.633789063,3993674528.0,2970520,12.6,0.0,156.2
82,1,50,0,0,relu,adam,adaptive,0.001,False,0.9639358643,0.9625,0.9624058368,3909.648193,2.665283203,4003761979.0,3092696,12.5,0.0,159.4
83,1,50,0,0,relu,adam,invscaling,0.001,True,0.9647558611,0.96375,0.9636649729,3728.226074,2.625488281,3962674410.0,2960248,10.5,2.0,156.3
84,1,50,0,0,relu,adam,invscaling,0.001,False,0.9656919148,0.965,0.9648099475,3728.390137,2.633300781,3997096597.0,2927577,12.5,0.0,162.1
85,1,50,0,0,relu,adam,constant,0.0001,True,0.9632619909,0.9625,0.9622938555,3734.956299,2.655273438,3982057805.0,2925850,34.5,0.0,175.5
