idx,no_of_layers,l1,l2,l3,activation,solver,learning_rate,alpha,warm_start,precision,recall,f1,training time (ms),inference time (ms),train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
1,1,50,0,0,identity,sgd,constant,0.01,True,0.9201238661,0.9175,0.9159394302,907.831543,0.9270019531,727052567,668655,0.6,0.0,228.4
2,1,50,0,0,identity,sgd,constant,0.01,False,0.9177250969,0.915,0.9142179764,2243.182129,0.9458007813,723556774,664632,0.6,0.2,228.3
3,1,50,0,0,identity,sgd,adaptive,0.01,True,0.9167736501,0.91,0.9079940423,1017.282471,0.9130859375,738600449,677833,0.6,0.0,227.8
4,1,50,0,0,identity,sgd,adaptive,0.01,False,0.9147371369,0.9125,0.9113223453,1013.736572,0.9338378906,970791485,684196,0.8,0.2,228.1
5,1,50,0,0,identity,sgd,invscaling,0.01,True,0.2504705442,0.2425,0.2185964314,1024.616943,0.9897460938,735361810,681938,0.8,0.0,228.7
6,1,50,0,0,identity,sgd,invscaling,0.01,False,0.2128361183,0.22375,0.1998021676,1016.864502,0.9157714844,741615058,666967,0.9,0.0,228.2
7,1,50,0,0,identity,sgd,constant,0.001,True,0.9172230284,0.915,0.9138728186,1015.473877,0.9064941406,729333235,670415,0.6,0.2,228.2
8,1,50,0,0,identity,sgd,constant,0.001,False,0.9168288831,0.91375,0.9124435666,1018.158936,0.90234375,737768662,683659,0.8,0.0,228.2
9,1,50,0,0,identity,sgd,adaptive,0.001,True,0.9222445221,0.92125,0.9198413754,1019.968262,0.9052734375,726209989,666036,0.8,0.0,228.0
10,1,50,0,0,identity,sgd,adaptive,0.001,False,0.918665062,0.91625,0.9148248437,1019.823975,0.9013671875,722720523,655888,0.6,0.0,227.8
11,1,50,0,0,identity,sgd,invscaling,0.001,True,0.1342340164,0.1875,0.1429597181,1017.02124,0.8991699219,734509248,711318,0.8,0.0,228.0
12,1,50,0,0,identity,sgd,invscaling,0.001,False,0.2624325117,0.2575,0.2160353639,1018.08667,0.9052734375,724071755,674760,0.6,0.2,228.4
13,1,50,0,0,identity,sgd,constant,0.0001,True,0.9270527224,0.9225,0.9218073238,1025.687744,0.9206542969,736175142,673373,0.6,0.0,227.8
14,1,50,0,0,identity,sgd,constant,0.0001,False,0.9176549908,0.91375,0.9126749844,1011.808105,0.8969726563,737277502,689908,0.6,0.2,228.0
15,1,50,0,0,identity,sgd,adaptive,0.0001,True,0.9170035034,0.91125,0.9100429415,1027.991211,0.9279785156,721582102,649173,0.6,0.2,228.1
16,1,50,0,0,identity,sgd,adaptive,0.0001,False,0.9172728012,0.915,0.9136610892,1018.171143,0.8957519531,727719666,663326,0.9,0.0,228.4
17,1,50,0,0,identity,sgd,invscaling,0.0001,True,0.1878531183,0.16125,0.1442204022,1023.149414,0.908203125,730805840,678265,0.9,0.2,228.1
18,1,50,0,0,identity,sgd,invscaling,0.0001,False,0.1441574665,0.15,0.1392893909,1011.324951,0.9174804688,747350021,768334,0.8,0.0,228.3
19,1,50,0,0,identity,adam,constant,0.01,True,0.9649419951,0.96375,0.9635429624,1172.94043,0.9016113281,799966819,676500,0.9,0.2,227.7
20,1,50,0,0,identity,adam,constant,0.01,False,0.9594327083,0.9575,0.9573135151,1175.822754,0.9145507813,825496770,702157,0.8,0.0,228.1
21,1,50,0,0,identity,adam,adaptive,0.01,True,0.9557495336,0.95375,0.9534548211,1168.950195,0.9147949219,810037855,680898,0.8,0.0,228.4
