idx,no_of_layers,l1,l2,l3,activation,solver,learning_rate,alpha,warm_start,precision,recall,f1,training time (ms),inference time (ms),train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
2096,3,100,100,50,tanh,lbfgs,constant,0.001,FALSE,0.9691189689,0.96875,0.9687254132,34031.23047,119.6237793,5.00E+10,120916192,28,0,179.9
2094,3,100,100,50,tanh,lbfgs,invscaling,0.01,FALSE,0.9713911616,0.97125,0.9710297592,44572.49414,119.6877441,8.00E+10,120560801,27.8,0,179.5
2097,3,100,100,50,tanh,lbfgs,adaptive,0.001,TRUE,0.9694619694,0.96875,0.9687649684,50011.33667,119.8391113,4.00E+10,66534621,27.9,0,179.2
2101,3,100,100,50,tanh,lbfgs,constant,0.0001,TRUE,0.9706615021,0.97,0.9700472337,53418.36353,119.5119629,6.00E+10,121069736,27.6,0,179
2092,3,100,100,50,tanh,lbfgs,adaptive,0.01,FALSE,0.9680702428,0.9675,0.9674688961,83561.14038,119.3149414,7.00E+10,92104053,27.7,0,179
2099,3,100,100,50,tanh,lbfgs,invscaling,0.001,TRUE,0.9656627631,0.965,0.9649282205,78999.92285,75.93164063,5.00E+10,120546462,27.8,0,179
2091,3,100,100,50,tanh,lbfgs,adaptive,0.01,TRUE,0.971711418,0.97125,0.9713048086,59931.88818,119.1027832,7.00E+10,120759713,27.7,0,178.9
2089,3,100,100,50,tanh,lbfgs,constant,0.01,TRUE,0.970503328,0.97,0.970024626,82107.94922,68.48217773,5.00E+10,120960980,27.7,0,178.9
2090,3,100,100,50,tanh,lbfgs,constant,0.01,FALSE,0.9630466492,0.9625,0.9624995354,81338.64429,119.3737793,8.00E+10,120881906,27.7,0,178.9
2093,3,100,100,50,tanh,lbfgs,invscaling,0.01,TRUE,0.9630396314,0.9625,0.9624223498,70152.40991,119.1296387,8.00E+10,121054343,27.4,0,178.7
1933,3,100,50,100,tanh,lbfgs,constant,0.001,TRUE,0.9597604184,0.95875,0.9589299777,68736.77197,117.9714355,4.00E+10,119229767,26.9,0,178.7
1935,3,100,50,100,tanh,lbfgs,adaptive,0.001,TRUE,0.9666173936,0.96625,0.9662406492,52299.14331,118.1738281,5.00E+10,119350870,26.8,0,178.6
1936,3,100,50,100,tanh,lbfgs,adaptive,0.001,FALSE,0.9680611649,0.9675,0.9675541071,53983.02295,118.1088867,4.00E+10,119681434,26.8,0,178.5
2098,3,100,100,50,tanh,lbfgs,adaptive,0.001,FALSE,0.9670375036,0.96625,0.9663584561,39684.4436,119.3935547,8.00E+10,121273083,27.4,0,178.4
2095,3,100,100,50,tanh,lbfgs,constant,0.001,TRUE,0.9665941531,0.96625,0.9662259255,60723.1897,119.7387695,7.00E+10,120820914,27.3,0,178.4
1928,3,100,50,100,tanh,lbfgs,constant,0.01,FALSE,0.9657636158,0.965,0.9651458663,50716.65137,117.6535645,6.00E+10,118875688,26.8,0,178.3
2106,3,100,100,50,tanh,lbfgs,invscaling,0.0001,FALSE,0.9645833834,0.96375,0.9638505413,62135.95654,79.5715332,5.00E+10,121018298,27.4,0,178.3
2100,3,100,100,50,tanh,lbfgs,invscaling,0.001,FALSE,0.9741326255,0.97375,0.9736413599,40899.76245,120.2939453,4.00E+10,121109062,26.5,0,178.2
1937,3,100,50,100,tanh,lbfgs,invscaling,0.001,TRUE,0.9684913872,0.9675,0.9676790732,55349.56396,117.7648926,5.00E+10,119409990,26.6,0,178.2
1987,3,100,100,50,identity,lbfgs,constant,0.001,TRUE,0.9633529541,0.9625,0.9623558558,45408.28003,43.60961914,5.00E+10,45412919,26.1,0,178.1
1929,3,100,50,100,tanh,lbfgs,adaptive,0.01,TRUE,0.9656843828,0.965,0.9650133501,55521.47168,103.0368652,6.00E+10,118535085,26.3,0,178
2104,3,100,100,50,tanh,lbfgs,adaptive,0.0001,FALSE,0.9652618824,0.965,0.9650263713,79485.37573,119.8571777,7.00E+10,121243058,24.8,0,177.9
