idx,device,sample,cpu_line (pc),cpu_line (orin),cpu_line (pi)
1,1,1,2356805225.0,8963330838.0,30000000000.0
2,1,2,2360772186.0,9076037990.0,30000000000.0
3,1,3,2359601743.0,9044162499.0,30000000000.0
4,1,4,2357358893.0,8965159432.0,30000000000.0
5,1,5,2368212256.0,8964203490.0,30000000000.0
6,1,6,2362956790.0,9020309462.0,30000000000.0
7,1,7,2353820281.0,8946571746.0,30000000000.0
8,1,8,2358650490.0,9156009482.0,30000000000.0
9,1,9,2356572838.0,9032320772.0,30000000000.0
10,1,10,2355864157.0,8925245563.0,30000000000.0
11,1,11,2365438652.0,8966613373.0,30000000000.0
12,1,12,2361509449.0,8902074515.0,30000000000.0
13,1,13,2376885589.0,8929318173.0,30000000000.0
14,1,14,2359273604.0,9014488262.0,30000000000.0
15,1,15,2360993047.0,8966660750.0,30000000000.0
16,1,16,2339925894.0,8973511206.0,30000000000.0
17,1,17,2359697475.0,9054388523.0,30000000000.0
18,1,18,2362607585.0,9010686608.0,30000000000.0
19,1,19,2358913497.0,8927867254.0,30000000000.0
20,1,20,2358456091.0,8988066242.0,30000000000.0
21,2,1,2358191377.0,8960509183.0,30000000000.0
22,2,2,2368486571.0,9011030645.0,30000000000.0
23,2,3,2374143043.0,8939962184.0,30000000000.0
24,2,4,2377531417.0,8994041073.0,30000000000.0
25,2,5,2362269788.0,8916369563.0,30000000000.0
26,2,6,2358814471.0,9183173000.0,30000000000.0
27,2,7,2363619898.0,9013002727.0,30000000000.0
28,2,8,2363960158.0,8969023160.0,30000000000.0
29,2,9,2358483586.0,9000497946.0,30000000000.0
30,2,10,2377589191.0,9035668619.0,30000000000.0
31,2,11,2380117195.0,8993924680.0,30000000000.0
32,2,12,2388724532.0,8920598716.0,30000000000.0
33,2,13,2372064371.0,8980037339.0,30000000000.0
34,2,14,2382538634.0,9103439279.0,30000000000.0
35,2,15,2376529693.0,8960129058.0,30000000000.0
36,2,16,2358751812.0,8872068804.0,30000000000.0
37,2,17,2397313265.0,9004741522.0,30000000000.0
38,2,18,2370256004.0,9016644125.0,30000000000.0
39,2,19,2341316872.0,9072342211.0,30000000000.0
40,2,20,2355559624.0,9002347633.0,30000000000.0
41,3,1,2365367583.0,8980040743.0,30000000000.0
42,3,2,2365849949.0,8998963477.0,30000000000.0
43,3,3,2367953053.0,8932643246.0,30000000000.0
44,3,4,2351672787.0,8893572596.0,30000000000.0
45,3,5,2326398926.0,9019150828.0,30000000000.0
46,3,6,2383435990.0,8944446445.0,30000000000.0
47,3,7,2361777501.0,8917945846.0,30000000000.0
48,3,8,2363007776.0,8974379458.0,30000000000.0
49,3,9,2379294067.0,9022561628.0,30000000000.0
50,3,10,2357532041.0,8805265432.0,30000000000.0
51,3,11,2349642008.0,8931772615.0,30000000000.0
52,3,12,2363570540.0,9021286906.0,30000000000.0
53,3,13,2333241617.0,8879788550.0,30000000000.0
54,3,14,2331110987.0,8978081618.0,30000000000.0
55,3,15,2359773899.0,8959752996.0,30000000000.0
56,3,16,2353364153.0,8788650048.0,30000000000.0
57,3,17,2365214987.0,8991353896.0,30000000000.0
58,3,18,2326242693.0,8945517810.0,30000000000.0
59,3,19,2350687484.0,8970923239.0,30000000000.0
60,3,20,2368446390.0,8915107245.0,30000000000.0
61,4,1,2373303108.0,9000585759.0,30000000000.0
62,4,2,2354026647.0,8949533396.0,30000000000.0
63,4,3,2358299340.0,9072012176.0,30000000000.0
64,4,4,2366886223.0,9120622389.0,30000000000.0
65,4,5,2355445339.0,9006050617.0,30000000000.0
66,4,6,2350914214.0,8992144065.0,30000000000.0
67,4,7,2347217756.0,9009738727.0,30000000000.0
68,4,8,2344032500.0,9054377161.0,30000000000.0
69,4,9,2361174865.0,8998046057.0,30000000000.0
70,4,10,2356698764.0,8929882252.0,30000000000.0
71,4,11,2369389063.0,8987975636.0,30000000000.0
72,4,12,2359066440.0,8932248382.0,30000000000.0
73,4,13,2357810799.0,8937075416.0,30000000000.0
74,4,14,2360945015.0,8965384415.0,30000000000.0
