idx,device,sample,total_mem (pc),total_mem (orin),total_mem (pi),mem_increment (pc),mem_increment (orin),mem_increment (pi)
1,1,1,20.2,16.8,12.1,0.0,0.0,0.2
2,1,2,20.1,17.1,12.1,0.1,0.0,0.2
3,1,3,20.2,16.8,12.1,0.0,0.0,0.2
4,1,4,20.1,16.9,12.1,0.1,0.0,0.2
5,1,5,20.1,16.7,12.1,0.4,0.0,0.2
6,1,6,20.2,16.7,12.1,0.1,0.0,0.2
7,1,7,20.2,16.9,12.1,0.2,0.0,0.2
8,1,8,20.2,16.8,12.1,0.1,0.0,0.2
9,1,9,19.9,16.9,12.1,0.0,0.0,0.2
10,1,10,20.2,17.1,12.1,0.0,0.0,0.2
11,1,11,20.1,17.1,12.1,0.0,0.0,0.2
12,1,12,20.2,16.8,12.1,0.1,0.0,0.2
13,1,13,20.1,16.9,12.1,0.0,0.0,0.2
14,1,14,20.0,16.7,12.1,0.0,0.0,0.2
15,1,15,20.1,16.7,12.1,0.1,0.0,0.2
16,1,16,20.2,16.8,12.2,0.1,0.0,0.2
17,1,17,20.1,16.8,12.1,0.0,0.0,0.2
18,1,18,20.2,16.7,12.2,0.0,0.0,0.2
19,1,19,20.1,16.8,12.1,0.1,0.0,0.2
20,1,20,20.4,16.9,12.1,0.1,0.0,0.2
21,2,1,20.2,16.8,12.1,0.1,0.0,0.2
22,2,2,20.4,16.8,12.2,0.2,0.0,0.2
23,2,3,20.1,16.9,12.2,0.0,0.0,0.2
24,2,4,20.1,16.8,12.2,0.0,0.0,0.2
25,2,5,20.2,16.9,12.1,0.0,0.0,0.2
26,2,6,20.1,16.9,12.1,0.0,0.0,0.3
27,2,7,20.0,16.9,12.2,0.0,0.0,0.3
28,2,8,20.1,16.7,12.1,0.1,0.0,0.2
29,2,9,20.2,16.8,12.1,0.0,0.0,0.2
30,2,10,20.2,16.8,12.2,0.1,0.0,0.3
31,2,11,20.2,17.1,12.1,0.0,0.0,0.2
32,2,12,20.0,16.9,12.2,0.0,0.0,0.3
33,2,13,20.1,16.9,12.1,0.0,0.0,0.2
34,2,14,20.2,16.8,12.0,0.0,0.0,0.2
35,2,15,20.2,16.9,12.2,0.2,0.0,0.2
36,2,16,20.1,17.1,12.1,0.0,0.0,0.2
37,2,17,20.2,17.1,12.1,0.1,0.0,0.3
38,2,18,20.1,16.7,12.1,0.0,0.0,0.2
39,2,19,20.2,16.9,12.2,0.0,0.0,0.2
40,2,20,20.1,16.7,12.2,0.0,0.0,0.2
41,3,1,20.4,16.8,12.2,0.2,0.0,0.2
42,3,2,20.1,16.8,12.2,0.0,0.0,0.2
43,3,3,20.2,16.8,12.0,0.0,0.0,0.2
44,3,4,19.9,16.9,12.1,0.0,0.0,0.2
45,3,5,20.1,16.9,12.1,0.0,0.0,0.2
46,3,6,20.1,17.1,12.1,0.0,0.0,0.2
47,3,7,20.1,16.7,12.1,0.0,0.0,0.2
48,3,8,20.1,16.9,12.1,0.0,0.0,0.2
49,3,9,20.0,16.8,12.1,0.0,0.0,0.2
50,3,10,20.4,16.8,12.1,0.1,0.0,0.2
51,3,11,20.2,16.8,12.1,0.1,0.0,0.2
52,3,12,20.1,16.7,12.0,0.1,0.0,0.2
53,3,13,20.2,16.7,12.1,0.0,0.0,0.2
54,3,14,20.1,16.8,12.1,0.1,0.0,0.2
55,3,15,20.1,16.8,12.1,0.1,0.0,0.2
56,3,16,20.2,16.8,12.1,0.0,0.0,0.2
57,3,17,20.1,16.9,12.1,0.0,0.0,0.2
58,3,18,20.1,16.7,12.1,0.0,0.0,0.2
59,3,19,20.0,16.7,12.1,0.0,0.0,0.2
60,3,20,20.2,17.1,12.1,0.0,0.0,0.2
61,4,1,20.2,16.7,12.1,0.1,0.0,0.2
62,4,2,20.1,16.8,12.1,0.0,0.0,0.2
63,4,3,20.1,16.9,12.1,0.0,0.0,0.2
64,4,4,20.1,16.9,12.1,0.1,0.0,0.2
65,4,5,20.2,16.7,12.1,0.0,0.0,0.2
66,4,6,20.1,16.7,12.1,0.1,0.0,0.2
67,4,7,20.1,16.7,12.1,0.0,0.0,0.2
68,4,8,20.0,16.8,12.2,0.2,0.0,0.2
69,4,9,20.1,16.8,12.1,0.0,0.0,0.2
70,4,10,20.2,16.9,12.1,0.1,0.0,0.2
71,4,11,20.1,16.9,12.1,0.1,0.0,0.2
72,4,12,20.1,16.8,12.2,0.0,0.0,0.2
73,4,13,20.1,16.9,12.1,0.1,0.0,0.2
74,4,14,20.1,16.7,12.1,0.0,0.0,0.2
75,4,15,20.0,17.1,12.1,0.1,0.0,0.2
76,4,16,20.1,16.8,12.2,0.0,0.0,0.2
77,4,17,20.1,16.7,12.1,0.0,0.0,0.2
78,4,18,20.1,16.9,12.1,0.0,0.0,0.2
79,4,19,20.0,16.9,12.1,0.0,0.0,0.2
80,4,20,20.1,16.9,12.1,0.1,0.0,0.2
81,5,1,19.9,16.8,12.1,0.0,0.0,0.3
82,5,2,20.2,16.9,12.1,0.0,0.1,0.3
83,5,3,20.4,17.0,12.1,0.2,0.1,0.3
84,5,4,20.0,16.8,12.2,0.1,0.1,0.3
85,5,5,20.2,16.9,12.2,0.1,0.0,0.3
86,5,6,20.1,16.9,12.1,0.0,0.1,0.3
87,5,7,20.2,16.9,12.1,0.1,0.1,0.3
88,5,8,20.2,16.9,12.2,0.0,0.1,0.3
89,5,9,20.0,16.8,12.1,0.0,0.0,0.3
90,5,10,20.1,16.9,12.2,0.2,0.1,0.3
91,5,11,20.4,17.0,12.1,0.1,0.1,0.3
92,5,12,20.1,16.7,12.1,0.1,0.0,0.3
93,5,13,20.1,16.8,12.1,0.0,0.1,0.3
94,5,14,20.1,16.8,12.1,0.0,0.0,0.3
95,5,15,20.1,16.7,12.1,0.0,0.0,0.3
96,5,16,20.1,16.8,12.1,0.0,0.1,0.3
97,5,17,20.1,17.1,12.2,0.0,0.1,0.3
98,5,18,20.1,17.0,12.2,0.0,0.1,0.3
99,5,19,20.0,17.0,12.1,0.0,0.1,0.3
100,5,20,20.0,17.1,12.1,0.1,0.1,0.3
101,6,1,20.1,16.8,12.1,0.0,0.0,0.3
102,6,2,20.2,16.9,12.1,0.1,0.0,0.3
103,6,3,20.2,16.8,12.1,0.1,0.0,0.3
104,6,4,20.2,16.8,12.1,0.1,0.0,0.3
105,6,5,20.0,17.1,12.1,0.1,0.0,0.3
106,6,6,20.2,17.1,12.2,0.1,0.0,0.3
107,6,7,20.1,17.0,12.1,0.0,0.0,0.3
108,6,8,20.0,16.8,12.1,0.1,0.0,0.3
109,6,9,20.1,16.7,12.2,0.0,0.0,0.3
110,6,10,20.1,16.9,12.2,0.1,0.0,0.3
111,6,11,20.1,16.8,12.2,0.0,0.0,0.3
112,6,12,20.1,16.9,12.2,0.0,0.1,0.3
113,6,13,20.1,16.7,12.1,0.0,0.0,0.3
114,6,14,20.1,16.8,12.1,0.2,0.0,0.3
115,6,15,20.2,16.7,12.2,0.1,0.0,0.3
116,6,16,20.1,17.1,12.1,0.0,0.0,0.3
117,6,17,20.1,16.9,12.1,0.1,0.0,0.3
118,6,18,20.2,16.8,12.2,0.1,0.0,0.3
119,6,19,20.2,16.8,12.2,0.2,0.0,0.3
120,6,20,20.1,16.9,12.2,0.0,0.0,0.3
121,7,1,20.0,17.0,12.2,0.0,0.0,0.3
122,7,2,20.4,16.8,12.2,0.1,0.0,0.3
123,7,3,19.9,16.9,12.1,0.0,0.0,0.3
124,7,4,20.1,16.8,12.2,0.0,0.0,0.3
125,7,5,20.1,16.9,12.1,0.0,0.0,0.3
126,7,6,20.1,16.8,12.1,0.0,0.0,0.3
127,7,7,20.1,16.9,12.1,0.1,0.0,0.3
128,7,8,20.2,16.9,12.1,0.2,0.0,0.3
129,7,9,20.1,17.0,12.2,0.0,0.0,0.3
130,7,10,20.1,16.8,12.2,0.0,0.0,0.3
131,7,11,20.1,17.1,12.2,0.1,0.0,0.3
132,7,12,20.2,16.8,12.1,0.0,0.0,0.3
133,7,13,20.2,16.8,12.1,0.2,0.0,0.3
134,7,14,20.2,16.7,12.2,0.2,0.0,0.3
135,7,15,20.1,17.1,12.1,0.0,0.0,0.3
136,7,16,20.1,16.8,12.1,0.0,0.0,0.3
137,7,17,20.4,16.9,12.1,0.2,0.0,0.3
138,7,18,20.2,16.9,12.1,0.1,0.0,0.3
139,7,19,20.1,17.1,12.1,0.0,0.0,0.3
140,7,20,20.2,17.1,12.2,0.2,0.0,0.3
141,8,1,20.4,16.7,12.1,0.1,0.0,0.3
142,8,2,20.2,16.9,12.1,0.1,0.0,0.3
143,8,3,20.2,17.1,12.2,0.1,0.1,0.3
144,8,4,20.1,16.9,12.1,0.0,0.0,0.3
145,8,5,20.0,17.0,12.1,0.0,0.1,0.3
146,8,6,20.1,16.9,12.2,0.4,0.0,0.3
147,8,7,20.1,17.1,12.2,0.0,0.0,0.3
148,8,8,20.1,17.1,12.2,0.2,0.0,0.3
149,8,9,20.2,17.0,12.1,0.1,0.0,0.3
150,8,10,20.4,16.7,12.1,0.1,0.0,0.3
151,8,11,20.1,16.9,12.1,0.0,0.0,0.3
152,8,12,20.2,17.0,12.2,0.2,0.1,0.3
153,8,13,20.1,16.9,12.2,0.1,0.0,0.3
154,8,14,20.4,17.1,12.1,0.1,0.0,0.3
155,8,15,19.9,16.9,12.2,0.1,0.0,0.3
156,8,16,20.4,16.7,12.2,0.1,0.0,0.3
157,8,17,20.4,17.1,12.2,0.1,0.0,0.3
158,8,18,20.1,17.1,12.2,0.0,0.0,0.3
159,8,19,20.0,16.8,12.1,0.1,0.0,0.3
160,8,20,20.2,17.1,12.2,0.0,0.0,0.3
161,9,1,20.1,16.9,12.2,0.0,0.0,0.3
162,9,2,20.1,16.8,12.1,0.0,0.0,0.3
163,9,3,20.1,16.8,12.2,0.0,0.0,0.3
164,9,4,20.1,17.1,12.2,0.1,0.0,0.3
165,9,5,20.1,17.0,12.2,0.0,0.0,0.3
166,9,6,20.0,16.8,12.1,0.1,0.0,0.3
167,9,7,20.1,16.9,12.2,0.0,0.0,0.3
168,9,8,20.2,16.9,12.1,0.1,0.0,0.3
