model_idx,tf_cpu_line,lite_cpu_lite
1,499327902.6,1574943.0
2,514081096.8,1619038.0
3,504188981.0,1596351.0
4,510667400.2,1598527.0
5,502678574.0,1607520.0
6,521673439.0,1667327.0
7,520842098.0,1661759.0
8,502751209.4,1625856.0
9,509711209.2,1564864.0
10,512628265.4,1594655.0
11,501120517.6,1660896.0
12,507084987.8,1611360.0
13,500554183.0,1614143.0
14,502897461.8,5340063.0
15,505819575.0,1523008.0
16,503156785.4,1621920.0
17,505997227.4,1542112.0
18,505519306.4,1624768.0
19,506516335.0,1657792.0
20,505087935.8,1637920.0
21,514570761.6,1611616.0
22,499852626.4,1481792.0
23,504224961.4,1566977.0
24,516913667.8,1629344.0
25,502905008.6,1662656.0
26,507405208.2,1582849.0
27,498074704.0,1599886.0
28,526996945.6,1524610.0
29,499386058.4,1568040.0
30,501535445.0,1619340.0
31,504923646.4,1499875.0
32,516858438.6,1625087.0
33,506919390.4,1560621.0
34,497884230.6,1655117.0
35,501493947.8,1623960.0
36,513372961.4,1599744.0
37,509351561.8,1568170.0
38,504406556.0,1622220.0
39,497447216.2,1570037.0
40,523855319.8,1623287.0
41,521192090.8,1592158.0
42,501153500.8,1595970.0
43,505578189.2,1658947.0
44,506374390.0,1634345.0
45,506749098.6,1605806.0
46,502720845.4,1578355.0
47,505268000.4,1621813.0
48,519283353.0,1609529.0
49,501793981.6,1628635.0
50,505144844.8,1581919.0
51,504307326.8,1616033.0
52,504945496.4,1606019.0
53,513880416.2,1550376.0
54,517658891.4,1650471.0
55,509601139.2,1656776.0
56,499844127.8,1579052.0
57,500752485.6,1643372.0
58,501436915.8,1580784.0
59,501731153.8,1582194.0
60,503445381.2,1622514.0
61,502098128.2,1576117.0
62,522505275.8,1620468.0
63,508479490.0,1571831.0
64,503386000.2,1562073.0
65,517999674.8,1600121.0
66,497684771.0,1583450.0
67,504726327.6,1445758.0
68,503716529.8,1589659.0
69,502103196.0,1559101.0
70,501895036.0,1629820.0
71,505077463.4,1632733.0
72,520758772.4,1644990.0
73,504881776.4,1679805.0
74,504149541.4,1615487.0
75,507700797.4,1623040.0
76,516500769.8,1716639.0
77,504524497.8,1568385.0
78,510755645.2,1649344.0
79,515303567.4,1618817.0
80,507168564.0,1700929.0
81,500417785.8,1655170.0
82,517642631.8,1503621.0
83,521228997.2,1634978.0
84,499787742.2,1570820.0
85,515605698.4,1605796.0
86,503283381.0,1633956.0
87,500612850.2,1583301.0
88,506015207.8,1613395.0
89,501949459.8,1554073.0
90,502515649.2,1633558.0
91,518141395.8,1585632.0
92,504192175.6,1534508.0
93,503584038.4,1467031.0
94,502116140.6,1561528.0
95,501721643.6,1598737.0
96,501882809.6,1611464.0
97,508036317.0,1612766.0
98,501257647.2,1631606.0
99,501891605.8,1571271.0
100,521132426.6,1615043.0
101,502920644.8,1653663.0
102,503933405.2,1639447.0
103,506578756.8,1748791.0
104,504971154.2,1592486.0
105,508026873.6,1684582.0
106,511815562.0,1635614.0
107,506860457.8,1621687.0
108,506427571.4,1636179.0
109,507247973.8,1612398.0
110,507392001.4,1633482.0
111,502992263.0,1710986.0
112,501419099.2,1603233.0
113,504889729.6,1656448.0
114,500800677.2,1649884.0
115,508016838.8,1587222.0
116,504252488.8,1670262.0
117,501037202.2,1597553.0
118,506575792.6,1628496.0
119,502806064.4,1663566.0
120,505620919.8,1670828.0
121,504185882.2,1600104.0
122,503102867.0,1663432.0
123,502239964.8,1626309.0
124,502871430.2,1665349.0
125,503381751.4,1681763.0
126,519172308.6,1563647.0
127,501521515.0,1639616.0
128,510154937.2,1641182.0
129,502628934.8,1623036.0
130,504706734.2,1631515.0
131,520934109.8,1604761.0
132,502887027.0,1599385.0
133,499703070.0,1649656.0
134,508289487.0,1745529.0
135,515193522.4,1607158.0
136,502269971.0,1604085.0
137,498733370.8,1621077.0
138,503318207.4,1595700.0
139,501764554.0,1629427.0
140,502828821.6,1614739.0
141,505454728.8,1652722.0
142,501359184.2,1592369.0
143,514469055.6,1613905.0
144,519253255.8,1632656.0
145,503832908.8,1672913.0
146,510583995.8,1647536.0
147,509158127.6,1625360.0
148,507120375.8,1567215.0
149,518755320.0,1669999.0
150,504724649.6,1590618.0
151,513520264.0,1609340.0
152,502932619.0,1634014.0
153,502393819.2,1648256.0
154,519994021.4,1663138.0
155,517401273.6,1640708.0
156,503793070.6,1603879.0
157,504325143.2,1602856.0
158,518556966.6,1626505.0
159,505991025.8,1605803.0
160,502742888.0,1636172.0
161,505475723.2,1685261.0
162,503579330.8,1638319.0
163,511485329.8,1689903.0
164,518523896.2,1629490.0
165,515123136.6,1649778.0
166,506886467.0,1646867.0
167,504311869.2,1631893.0
168,515667735.4,1746740.0
169,507270339.8,1595382.0
170,505399688.6,1656950.0
171,502557148.6,1646711.0
172,505637891.8,1592313.0
173,502326320.2,1640825.0
174,501765581.6,1678009.0
175,519090295.6,1690714.0
176,503387821.4,1661818.0
177,517866342.0,1650650.0
178,501874412.8,1697467.0
179,501434822.2,1677788.0
180,506260248.2,1659900.0
181,514506166.6,1589180.0
182,515274470.4,1625084.0
183,507541490.4,1559581.0
184,509951429.0,1689501.0
185,508480145.4,1712830.0
186,499377358.4,1644574.0
187,508441877.4,1618142.0
188,504675668.4,1619678.0
189,518795031.6,1616831.0
190,507914201.6,1647455.0
191,507246037.0,1585471.0
192,502333307.0,1655327.0
193,521124143.8,1597760.0
194,501539597.6,1702912.0
195,504097843.4,1699232.0
196,502582307.8,1617856.0
197,499908318.6,1681663.0
198,503569231.8,1605888.0
199,513541625.6,1674368.0
200,508660845.2,1639200.0
201,504885559.8,1615201.0
202,505939745.4,1601632.0
203,503680820.6,1660129.0
204,507236680.4,1729888.0
205,514748668.6,1606849.0
206,522048220.6,1647393.0
207,501757736.0,1693025.0
208,509272562.4,1637281.0
209,517984778.6,1635297.0
210,517703221.4,1580705.0
211,503894443.6,1616174.0
212,524189595.0,1661711.0
213,508749992.6,1664656.0
214,503775050.6,1585010.0
215,502102349.0,1621074.0
216,523646552.6,1650707.0
217,517016511.8,1685203.0
218,522095844.8,1675924.0
219,509116765.0,1647189.0
220,506504250.6,1695541.0
221,502606576.4,1643926.0
222,508504905.0,1691894.0
223,503500510.6,1644983.0
224,508597187.2,1606296.0
225,497872919.6,1680248.0
226,504877864.2,1625241.0
227,503128867.6,1674585.0
228,504159722.8,1655673.0
229,505067468.0,1593690.0
230,500999191.2,1618363.0
231,505468158.8,1666491.0
232,502144543.4,1659899.0
233,505694463.8,1629883.0
234,508384804.0,1650171.0
235,505316255.4,1650332.0
236,504745909.6,1688028.0
237,507946820.2,1702492.0
238,510069746.8,1679772.0
239,503602343.8,1570397.0
240,510209721.0,1630877.0
241,518385844.8,1674237.0
242,522996517.6,1660638.0
243,503865370.2,1642237.0
244,510321044.8,1718558.0
245,505664663.6,1657406.0
246,505980847.2,1631966.0
247,505613567.8,1611070.0
248,505952781.0,1780830.0
249,503429295.2,1601502.0
250,512826350.4,1646687.0
251,505700977.4,1643263.0
252,506062385.2,1636255.0
253,509030790.0,1669886.0
254,504095700.2,1628574.0
255,504122607.6,1651071.0
256,510419690.6,1597791.0
257,508178022.2,1632062.0
258,503806094.2,1631647.0
259,504350314.6,1671903.0
260,507265489.2,1560095.0
261,516193170.8,1649311.0
262,504688270.4,1621694.0
263,519134513.4,1631391.0
264,506716062.6,1659806.0
265,502386565.8,1668703.0
266,506733722.2,1690239.0
267,500124295.4,1697600.0
268,521866571.0,1639968.0
269,502292746.6,1658239.0
270,503115909.2,1654591.0
271,506857220.2,1664768.0
272,505141368.8,1725695.0
273,521481657.6,1688826.0
274,505513385.8,1646842.0
275,501932049.0,1615098.0
276,503047496.0,1751802.0
277,503694140.4,1691707.0
278,503767001.8,1675740.0
279,502836232.2,1625787.0
280,517738966.2,1643132.0
281,503034662.6,1611868.0
282,503481336.2,1681820.0
283,505934126.6,1682684.0
284,523678958.0,1625117.0
285,505166981.8,1648924.0
286,506665615.0,1772700.0
287,522601236.0,1670429.0
288,524627346.6,1678013.0
289,509802158.2,1608061.0
290,504241248.2,1590301.0
291,502211939.2,1550781.0
292,504170231.8,1578077.0
293,517017728.4,1585534.0
294,505819928.4,1630782.0
295,502369238.0,1655646.0
296,503628465.4,1607422.0
297,517985197.8,1698461.0
298,508095522.4,1645086.0
299,514010919.8,1591230.0
300,507307502.6,1594110.0
301,518233932.4,1662270.0
302,501209987.0,1614718.0
303,499154042.2,1609054.0
304,503713462.0,1638495.0
305,505799687.6,1690718.0
306,510764846.6,1594783.0
307,505738648.6,1600319.0
308,497204197.2,1617342.0
309,500165561.0,1664799.0
310,508200474.2,1595326.0
311,507290468.0,1582046.0
312,507305829.6,1525790.0
313,503854730.0,1652863.0
314,518685495.0,1530686.0
315,503504894.4,1566782.0
316,508563341.0,1631390.0
317,512913404.2,1630462.0
318,510541430.6,1602207.0
319,508604746.4,1622303.0
320,505304171.4,1701375.0
321,515526894.4,1606719.0
322,523438117.8,1607358.0
323,507673635.6,1640382.0
324,516308704.4,1560479.0
325,523932676.2,1655743.0
326,505916879.4,1700735.0
327,502942881.4,1610527.0
328,503667907.8,1578655.0
329,511957965.0,1679423.0
330,504923432.0,1601439.0
331,506325935.8,1574847.0
332,505844504.8,1604447.0
333,498770080.0,1663487.0
334,520724071.0,1647576.0
335,508830991.6,1606521.0
336,506070197.8,1607353.0
337,505313278.4,1611642.0
338,506765886.6,1587162.0
339,507984710.8,1610298.0
340,516289699.8,1545946.0
341,514361210.6,1638234.0
342,510279232.0,1613563.0
343,499507195.2,1670586.0
344,515208644.4,1545179.0
345,515452379.0,1632763.0
346,509215494.6,1633148.0
347,505060378.4,1613531.0
348,501838523.4,1601883.0
349,508230950.4,1546780.0
350,505885163.6,1622332.0
351,514745535.8,1614044.0
352,526288383.8,1583197.0
