model_idx,tf_time,lite_time,tf_cpu_line,lite_cpu_line,tf_cum_cpu,lite_cum_cpu,tf_mem,lite_mem
1,117.303955078125,0.005615234375,2496639513.0,243840.0,0.729,0.001,1.4,0.0
2,117.430908203125,0.006591796875,2570405484.0,220352.0,0.718,0.001,1.4,0.0
3,115.453125,0.004638671875,2520944905.0,249408.0,0.713,0.001,1.4,0.0
4,119.602783203125,0.006591796875,2553337001.0,271040.0,0.723,0.001,1.4,0.0
5,121.8623046875,0.006103515625,2513392870.0,243647.0,0.716,0.0,1.2,0.0
6,119.361572265625,0.0048828125,2608367195.0,253408.0,0.708,0.0,4.2,0.0
7,119.26220703125,0.005126953125,2604210490.0,246880.0,0.71,0.0,1.6,0.0
8,117.431884765625,0.006103515625,2513756047.0,258015.0,0.705,0.001,1.2,0.0
9,116.0234375,0.00634765625,2548556046.0,240704.0,0.731,0.001,1.7,0.0
10,117.699951171875,0.005615234375,2563141327.0,292800.0,0.721,0.001,1.2,0.0
11,119.62451171875,0.005126953125,2505602588.0,254496.0,0.72,0.001,1.4,0.0
12,121.01123046875,0.005126953125,2535424939.0,257952.0,0.73,0.0,1.4,0.0
13,122.24609375,0.00634765625,2502770915.0,252192.0,0.721,0.001,1.3,0.0
14,117.27294921875,0.00439453125,2514487309.0,239680.0,0.71,0.001,1.3,0.0
15,119.294921875,0.006103515625,2529097875.0,233504.0,0.717,0.0,1.4,0.0
16,118.05712890625,0.005859375,2515783927.0,259424.0,0.725,0.001,1.4,0.0
17,116.09912109375,0.005859375,2529986137.0,241792.0,0.709,0.0,1.6,0.0
18,115.588134765625,0.0048828125,2527596532.0,245408.0,0.716,0.001,1.2,0.0
19,122.865966796875,0.0048828125,2532581675.0,251840.0,0.715,0.0,1.3,0.0
20,120.66357421875,0.004638671875,2525439679.0,257120.0,0.729,0.0,4.2,0.0
21,115.984130859375,0.006103515625,2572853808.0,259616.0,0.715,0.001,1.4,0.0
22,116.5087890625,0.006103515625,2499263132.0,245312.0,0.732,0.001,1.2,0.0
23,117.859375,0.00537109375,2521124807.0,234656.0,0.724,0.001,1.3,0.0
24,116.47802734375,0.007568359375,2584568339.0,251456.0,0.709,0.001,1.3,0.0
25,116.260498046875,0.005859375,2514525043.0,252992.0,0.714,0.001,1.3,0.0
26,117.401123046875,0.005126953125,2537026041.0,245280.0,0.727,0.001,1.4,0.0
27,115.757080078125,0.006103515625,2490373520.0,249087.0,0.72,0.001,1.5,0.0
28,120.300537109375,0.00439453125,2634984728.0,277855.0,0.712,0.001,1.4,0.0
29,122.986083984375,0.007080078125,2496930292.0,246433.0,0.707,0.0,1.3,0.0
30,118.811279296875,0.006103515625,2507677225.0,247716.0,0.71,0.0,1.4,0.0
31,118.160400390625,0.0068359375,2524618232.0,235046.0,0.721,0.0,1.4,0.0
32,115.803466796875,0.00634765625,2584292193.0,262436.0,0.705,0.001,1.3,0.0
33,114.64990234375,0.005126953125,2534596952.0,251146.0,0.726,0.001,1.4,0.0
34,117.823974609375,0.005859375,2489421153.0,257610.0,0.711,0.0,1.4,0.0
35,118.982421875,0.00537109375,2507469739.0,236620.0,0.703,0.001,4.1,0.0
36,118.7919921875,0.005859375,2566864807.0,242925.0,0.723,0.001,1.4,0.0
37,118.030517578125,0.005859375,2546757809.0,265803.0,0.707,0.001,1.3,0.0
38,117.933837890625,0.004638671875,2522032780.0,261038.0,0.713,0.0,3.9,0.0
