model_idx,tf_mem_req_to_load_model,lite_mem_req_to_load_model,tf_mem_req_to_infer_model,lite_mem_req_to_infer_model,tf_total_mem,lite_total_mem
1,2070.3,1.6,1052.7,0.0,3590.0,464.2
2,2070.8,0.0,1050.3,0.0,3588.4,472.9
3,2073.7,1.7,1062.7,0.0,3609.0,477.5
4,2067.3,0.0,1052.9,0.0,3589.1,472.1
5,2068.9,0.0,1057.9,0.0,3582.2,465.4
6,2067.9,0.0,1054.4,0.0,3595.4,469.3
7,2068.8,0.0,1059.9,0.0,3601.3,471.2
8,2075.5,0.0,1054.3,0.0,3598.6,470.6
9,2072.6,0.0,1048.5,0.0,3581.3,466.9
10,2075.3,1.7,1064.0,0.0,3604.0,465.8
11,2075.6,1.6,1062.5,0.0,3613.4,472.8
12,2076.3,0.0,1062.0,0.0,3593.9,471.5
13,2073.4,1.7,1051.6,0.0,3598.3,480.0
14,2065.5,1.6,1051.0,0.0,3579.8,465.9
15,2071.9,0.0,1050.7,0.0,3586.2,461.2
16,2068.9,0.0,1048.9,0.0,3580.3,466.4
17,2070.9,0.0,1059.8,0.0,3600.4,467.6
18,2073.9,0.0,1067.2,0.1,3610.3,471.7
19,2069.9,0.0,1054.1,0.0,3587.8,463.6
20,2071.4,1.8,1058.3,0.0,3603.9,467.8
21,2072.1,0.0,1053.1,0.0,3588.8,468.0
22,2069.9,0.0,1066.0,0.0,3596.6,474.8
23,2067.8,1.7,1052.0,0.0,3588.9,463.2
24,2073.6,0.0,1056.9,0.0,3598.5,476.9
25,2072.2,1.8,1065.7,0.0,3595.8,461.7
26,2067.5,0.0,1051.6,0.0,3582.5,474.3
27,2073.8,0.0,1055.1,0.0,3588.2,476.3
28,2069.3,0.0,1055.4,0.0,3593.8,464.3
29,2070.8,0.0,1061.7,0.0,3598.3,475.4
30,2073.8,0.0,1055.8,0.0,3599.6,467.8
31,2072.6,0.0,1055.8,0.0,3583.6,471.0
32,2069.7,0.0,1061.4,0.0,3595.7,473.6
33,2068.6,1.8,1055.5,0.0,3594.8,475.8
34,2070.8,0.0,1056.1,0.0,3599.3,468.6
35,2071.8,0.0,1054.3,0.0,3595.4,465.1
36,2068.8,0.0,1057.9,0.0,3593.6,460.0
37,2067.8,0.0,1055.0,0.0,3598.4,473.7
38,2072.1,0.0,1061.4,0.0,3592.1,465.8
39,2074.3,0.0,1055.7,0.0,3604.2,474.8
40,2072.3,0.0,1055.8,0.0,3593.3,479.3
41,2069.5,0.0,1057.5,0.0,3592.4,474.5
42,2066.8,0.0,1060.3,0.0,3596.1,466.5
43,2066.9,1.8,1049.6,0.0,3580.1,462.2
44,2071.9,1.8,1050.0,0.0,3590.7,466.2
45,2071.8,0.0,1063.0,0.0,3610.1,472.1
46,2071.6,0.0,1056.2,0.0,3592.9,470.7
47,2073.7,0.0,1057.5,0.0,3594.2,467.9
48,2074.2,0.0,1058.2,0.0,3604.2,473.3
49,2068.4,0.0,1058.5,0.0,3594.9,471.7
50,2074.4,1.8,1052.5,0.0,3588.6,471.2
51,2073.2,0.0,1052.0,0.0,3601.4,472.3
52,2068.7,0.0,1051.6,0.0,3589.6,473.2
53,2071.2,0.0,1058.2,0.0,3593.1,465.6
54,2068.1,0.0,1052.3,0.0,3581.0,465.6
55,2072.2,0.0,1054.1,0.0,3595.4,469.8
56,2076.1,0.0,1054.5,0.0,3597.5,471.9
57,2069.6,0.0,1057.9,0.0,3594.0,474.8
58,2072.9,0.0,1056.4,0.0,3589.7,470.5
59,2078.7,0.0,1056.6,0.0,3597.0,465.6
60,2068.7,0.0,1055.1,0.0,3587.5,474.0
61,2074.5,0.0,1056.0,0.0,3589.5,469.7
62,2069.6,1.7,1054.1,0.0,3583.8,476.7
63,2074.5,0.0,1055.9,0.0,3592.9,467.8
64,2069.4,0.0,1057.7,0.0,3592.4,471.4
65,2067.4,1.7,1052.6,0.0,3587.6,473.2
66,2071.0,0.0,1054.8,0.0,3591.9,472.4
67,2069.9,1.7,1055.9,0.0,3598.3,464.6
68,2075.3,0.0,1054.6,0.0,3592.1,464.6
69,2069.5,1.6,1064.0,0.0,3600.0,460.3
70,2067.9,1.7,1059.7,0.0,3588.8,468.9
71,2070.0,0.0,1064.6,0.0,3603.2,470.5
72,2074.4,0.0,1052.9,0.0,3590.5,472.8
73,2073.7,0.0,1061.1,0.0,3598.4,464.6
74,2067.2,0.0,1050.2,0.0,3596.3,478.7
75,2070.9,1.1,1054.7,0.0,3585.9,474.4
76,2076.7,0.0,1057.6,0.0,3598.0,460.9
77,2069.4,1.7,1050.6,0.0,3587.7,476.2
78,2072.9,0.0,1051.3,0.0,3583.6,472.1
79,2072.1,0.0,1051.3,0.0,3595.3,468.1
80,2070.5,0.0,1058.8,0.0,3595.6,464.4
81,2070.8,1.7,1068.2,0.0,3603.6,471.0
82,2071.0,0.0,1061.7,0.0,3605.4,468.2
83,2068.4,0.0,1052.9,0.0,3593.9,472.2
84,2075.3,1.8,1064.7,0.0,3598.5,475.5
85,2069.9,1.7,1051.4,0.0,3586.1,475.8
86,2067.7,1.7,1052.6,0.0,3590.4,464.6
87,2072.2,0.0,1062.9,0.0,3598.3,474.1
88,2066.2,0.0,1058.7,0.0,3598.4,470.2
89,2068.6,0.0,1059.9,0.0,3591.9,464.8
90,2070.3,0.0,1065.0,0.0,3605.3,470.8
91,2074.0,0.0,1054.0,0.0,3596.6,473.5
92,2075.1,0.0,1066.7,0.0,3600.3,473.1
93,2070.5,1.7,1058.2,0.0,3600.0,463.5
94,2071.3,0.0,1052.3,0.0,3586.9,475.6
95,2068.6,0.0,1054.9,0.0,3590.2,462.4
96,2072.5,1.6,1051.0,0.0,3588.6,464.8
97,2074.9,0.0,1053.5,0.0,3596.8,479.9
98,2072.8,0.0,1048.3,0.0,3580.9,471.6
99,2074.7,0.0,1057.3,0.0,3595.4,469.0
100,2066.3,0.0,1064.3,0.0,3600.9,474.2
101,2067.5,1.8,1059.3,0.0,3586.1,464.5
