model_idx,tf_cpu_line,lite_cpu_lite
1,49365757.8,87915.0
2,42317346.2,88018.0
3,42420711.0,83169.0
4,42743854.4,95419.0
5,42742237.4,94844.0
6,43297821.2,87770.0
7,42131298.4,85115.0
8,42269669.4,87784.0
9,42439266.2,97136.0
10,43220580.8,83780.0
11,42817107.8,84433.0
12,42874655.2,87250.0
13,42962551.4,85895.0
14,42481813.8,85859.0
15,42680988.2,95226.0
16,42572665.6,83561.0
17,42366110.0,83666.0
18,42687431.4,83621.0
19,44821502.2,103375.0
20,42137516.0,86620.0
21,42831538.4,85836.0
22,42274635.2,93074.0
23,42597058.8,84219.0
24,43435055.4,82592.0
25,42579488.6,89294.0
26,42680847.8,82918.0
27,42668248.2,86766.0
28,42432871.4,85049.0
29,42162374.4,84310.0
30,42536847.8,84401.0
31,54769738.6,100488.0
32,42523500.2,83465.0
33,42867095.0,87038.0
34,43257475.0,87669.0
35,42623895.2,86534.0
36,42811534.6,86259.0
37,43326549.0,85253.0
38,43138618.8,98987.0
39,54670833.6,88428.0
40,42519166.6,149217.0
41,43159752.0,85964.0
42,42623194.8,85579.0
43,42411192.0,84867.0
44,42983510.0,86965.0
45,42446553.6,83380.0
46,43136818.8,83966.0
47,42666647.2,85320.0
48,42112882.0,84582.0
49,42396792.6,101246.0
50,42105812.0,101789.0
51,42591443.4,84045.0
52,42705343.0,84564.0
53,42327234.8,85698.0
54,42832148.0,85269.0
55,42212270.6,85535.0
56,48759877.8,164482.0
57,44516242.6,97759.0
58,43479585.8,87509.0
59,42312163.2,84556.0
60,44258417.8,83638.0
61,42851846.8,87375.0
62,42212730.2,92399.0
63,42072896.6,87294.0
64,42807138.2,100372.0
65,42555441.8,95721.0
66,42084273.4,95187.0
67,42153126.8,85813.0
68,42069726.2,88270.0
69,42002082.0,87033.0
70,84209935.4,96098.0
71,41970738.2,85395.0
72,42212556.4,84222.0
73,41970472.0,100791.0
74,41951034.2,85846.0
75,42266329.8,89718.0
76,42027764.2,88308.0
77,41825984.6,88754.0
78,42384205.8,87904.0
79,42178075.8,100633.0
80,43047769.0,87460.0
81,42199528.4,85339.0
82,42106770.0,91199.0
83,42158201.8,83221.0
84,42129158.4,85162.0
85,41807938.8,85120.0
86,42164580.8,87192.0
87,42665031.0,85482.0
88,42204121.8,85924.0
89,42211847.4,85094.0
90,42046205.6,111224.0
91,43867240.2,83087.0
92,42250046.4,90219.0
93,41901660.2,86750.0
94,41516254.0,87814.0
95,41843830.0,90585.0
96,42680976.2,95320.0
97,42386210.4,93426.0
98,43371497.8,90812.0
99,42067168.8,87611.0
100,42583820.8,94403.0
101,42152061.4,93126.0
102,42780069.8,87888.0
103,42545633.4,88991.0
104,42426939.0,95084.0
105,42243479.4,88686.0
106,42147744.2,90169.0
107,42117412.8,91542.0
108,42333062.8,103462.0
109,42152062.0,104255.0
110,42406535.6,90810.0
111,42593788.0,98236.0
112,42250938.2,84712.0
113,42278191.6,91803.0
114,42570442.8,104016.0
115,42118657.6,89533.0
116,42629191.2,91421.0
117,42022221.4,88856.0
118,43035705.8,92484.0
119,42240678.0,86688.0
120,42434551.8,105978.0
121,42122615.6,92569.0
122,42246557.2,92711.0
123,42846806.2,90195.0
124,42676583.6,91450.0
125,42489786.2,108270.0
126,42831972.0,87865.0
127,42739688.2,95911.0
128,42504405.4,86665.0
129,43774403.2,88658.0
130,42269334.2,83449.0
131,41909263.0,87861.0
