model_idx,tf_mem_req_to_load_model,lite_mem_req_to_load_model,tf_mem_req_to_infer_model,lite_mem_req_to_infer_model,tf_total_mem,lite_total_mem
1,31.4,2.7,14.4,0.2,486.5,443.6
2,31.2,2.9,14.5,0.2,486.4,443.4
3,31.1,2.9,14.6,0.2,486.6,444.1
4,31.2,2.8,14.6,0.2,486.5,443.7
5,30.9,2.9,14.5,0.2,486.2,443.9
6,31.1,2.8,14.7,0.2,486.8,443.9
7,31.4,2.9,14.3,0.2,486.7,443.9
8,31.1,2.8,14.6,0.2,486.3,444.2
9,31.0,2.8,14.4,0.2,486.1,443.7
10,31.1,2.8,15.0,0.2,486.6,443.8
11,31.2,2.8,14.5,0.2,486.2,444.0
12,31.1,3.0,14.5,0.2,486.1,443.9
13,30.8,2.7,14.8,0.2,486.2,443.9
14,31.1,2.7,14.5,0.2,486.4,443.5
15,31.1,2.7,14.4,0.2,486.5,443.9
16,31.0,2.9,14.7,0.2,486.6,443.6
17,30.9,2.7,15.0,0.2,486.7,443.9
18,30.9,2.7,14.6,0.2,486.6,443.8
19,31.2,2.8,14.7,0.2,486.3,444.2
20,31.0,2.8,14.8,0.2,486.8,443.9
21,31.0,2.8,14.5,0.2,485.7,443.8
22,31.2,2.8,14.9,0.2,486.8,444.0
23,30.9,2.9,14.4,0.2,486.2,443.7
24,31.1,2.9,14.9,0.2,486.6,443.8
25,31.1,2.7,14.2,0.2,486.2,443.9
26,31.0,2.7,14.5,0.2,486.6,443.9
27,31.0,2.7,14.7,0.2,486.4,443.4
28,31.2,2.8,14.1,0.2,485.9,443.6
29,31.1,2.8,14.9,0.2,486.0,444.0
30,31.1,2.8,14.5,0.2,486.6,443.8
31,31.0,2.8,14.7,0.2,486.8,444.1
32,30.9,2.8,14.5,0.2,486.3,443.8
33,30.9,2.8,14.7,0.2,486.2,443.7
34,31.2,2.9,14.7,0.2,486.7,443.8
35,31.2,2.9,14.6,0.2,486.4,443.9
36,31.2,2.8,14.4,0.2,486.0,443.8
37,31.2,2.8,15.2,0.2,486.6,443.9
38,31.0,2.8,14.5,0.2,486.0,443.9
39,31.0,2.9,15.1,0.2,486.8,444.0
40,30.8,2.7,14.9,0.2,486.2,444.0
41,31.1,2.8,14.6,0.2,486.1,443.3
42,31.1,2.9,14.6,0.2,486.2,443.5
43,31.2,2.7,14.9,0.2,486.4,443.8
44,30.9,3.0,14.7,0.2,486.2,443.7
45,31.1,2.7,15.0,0.2,486.5,443.7
46,31.1,2.7,14.5,0.2,486.1,443.9
47,31.1,2.8,14.6,0.2,486.4,443.9
48,31.0,2.8,14.6,0.2,486.2,443.8
49,32.1,2.8,15.0,0.2,487.6,444.1
50,32.0,2.8,14.9,0.2,487.4,443.8
51,31.6,2.7,14.5,0.2,487.0,443.6
52,32.1,2.7,15.1,0.2,487.6,443.8
53,31.8,2.8,15.1,0.2,487.2,443.6
54,31.8,2.9,14.6,0.2,487.0,443.8
55,32.2,2.7,15.0,0.2,487.6,443.7
56,31.8,2.8,14.9,0.2,487.4,443.9
