model_idx,tf_cpu_line,lite_cpu_lite
1,548620908.6,2242088.0
2,545874871.2,2189431.0
3,547026312.8,2266931.0
4,545323355.4,2185369.0
5,554097240.8,2314744.0
6,546021078.6,2151253.0
7,544355470.8,2276982.0
8,546597485.6,2195472.0
9,545310538.4,2377451.0
10,545875127.2,2266253.0
11,544101787.0,2293128.0
12,546450735.4,2280732.0
13,544330366.2,2182555.0
14,544152376.6,2263492.0
15,547717235.8,2246513.0
16,547809821.4,2173284.0
17,544797413.2,2144012.0
18,545515949.8,2231877.0
19,548313083.6,2211148.0
20,546588317.8,2273596.0
21,545348512.2,2143700.0
22,546611124.6,2198908.0
23,544934800.4,2227085.0
24,545576186.6,2185991.0
25,547307637.2,2219377.0
26,545321814.6,2223752.0
27,550152747.2,2229220.0
28,544580102.4,2139428.0
29,545439732.2,2179011.0
30,544681028.4,2185313.0
31,546637129.0,2222084.0
32,546790624.6,2127553.0
33,546360744.8,2250730.0
34,547602617.4,2180417.0
35,547391615.0,2171876.0
36,546578404.4,2192552.0
37,545649111.6,2174115.0
38,552557143.4,2162396.0
39,548602257.0,2172865.0
40,544009370.4,2173438.0
41,546061403.0,2146094.0
42,546335164.2,2211355.0
43,546681978.0,2221407.0
44,547468613.8,2151292.0
45,546407914.8,2201656.0
46,545713501.4,2344885.0
47,544802084.6,2147438.0
48,545937094.4,2173324.0
49,751036049.6,3938578.0
50,546008740.0,2146450.0
51,546842231.6,2165356.0
52,549167225.8,2191554.0
53,550594148.0,2314315.0
54,545783672.2,2132441.0
55,544652170.6,2266138.0
56,549091189.6,2237649.0
57,546542437.6,2223639.0
58,544504942.0,2155618.0
59,546488255.4,2222181.0
60,548022338.4,2172025.0
61,543040042.0,2190567.0
62,544987308.2,2153640.0
63,545348597.6,2376557.0
64,544746544.0,2165723.0
65,546679985.4,2336192.0
66,545402284.8,2195411.0
67,546206670.6,2172495.0
68,549852371.8,2248589.0
69,548469166.6,2216506.0
70,545719484.0,2171974.0
71,544586504.2,2173694.0
72,546081830.2,2211402.0
73,545805544.6,2167183.0
74,543700052.8,2141246.0
75,545925697.2,2166975.0
76,544181745.0,2138798.0
77,544527734.8,2282288.0
78,544231329.2,2217184.0
79,546433720.4,2185673.0
80,546031584.2,2224371.0
81,546229958.2,2250569.0
82,546070194.8,2218069.0
83,546267940.6,2281923.0
84,544639865.4,2148173.0
85,544897068.2,2251871.0
86,544334083.8,2234788.0
87,544494869.0,2179788.0
88,545066799.2,2179059.0
89,546422185.4,2274944.0
90,545224626.6,2236508.0
91,545888210.4,2159268.0
92,545857649.0,2250882.0
93,547155148.0,2256924.0
94,546289794.8,2153955.0
95,545551316.8,2201560.0
96,546184804.4,2247028.0
97,550694058.6,2162237.0
98,550166755.4,2191091.0
99,550621388.2,2250466.0
100,552011103.0,2173018.0
101,549453385.0,2309008.0
102,549648642.2,2268799.0
103,549239389.2,2204841.0
104,549712791.6,2317341.0
105,550719765.2,2239477.0
106,550209668.0,2215101.0
107,551124433.2,2153227.0
108,549434107.8,2257862.0
109,549418540.2,2201195.0
110,549106213.2,2189841.0
111,549978592.0,2157394.0
112,549064848.2,2231039.0
113,550337872.2,2169737.0
114,549878398.4,2185987.0
115,550198964.6,2171872.0
116,550778343.2,2335362.0
117,550658419.8,2283435.0
118,551379422.8,2282549.0
119,549645730.6,2228591.0
120,550174003.8,2172550.0
121,548614915.4,2162810.0
122,549382667.8,2175206.0
123,550633117.4,2243383.0
124,550603672.0,2164997.0
125,553206526.6,2172342.0
126,549938959.8,2186613.0
127,552494178.4,2200936.0
128,549519891.8,2188383.0
129,548548853.8,2159008.0
130,550016490.4,2172446.0
131,550256377.4,2226040.0
132,549284244.8,2195935.0
133,547785071.8,2169529.0
134,548823395.2,2238539.0
135,550751395.4,2223227.0
136,550590531.6,2215154.0
137,549796313.6,2220102.0
138,549419482.2,2217915.0
139,549012078.8,2154946.0
140,551318755.4,2249425.0
141,550665736.6,2211717.0
142,549109229.4,2328123.0
143,548587970.8,2204841.0
144,550906855.0,2273383.0
145,553890479.0,2207498.0
146,553368189.0,2160050.0
147,553434669.6,2241300.0
148,555163512.6,2185622.0
149,556167617.0,2165362.0
150,554385984.4,2239841.0
151,552563071.0,2184634.0
152,552506749.0,2193904.0
153,554118779.6,2186404.0
154,554959634.0,2249998.0
155,554148511.0,2198175.0
156,555440989.0,2299894.0
157,554236939.2,2259113.0
158,553340545.2,2214789.0
159,554672898.8,2304893.0
160,553504984.2,2316352.0
161,553648609.8,2270831.0
162,551140383.6,2306717.0
163,554327704.0,2238487.0
164,552667696.0,2295727.0
165,553888955.6,2276560.0
166,554090862.4,2292134.0
167,554197331.6,2213019.0
168,559284139.8,2230466.0
169,553027948.4,2330727.0
170,552319876.8,2187498.0
171,552434273.2,2234217.0
172,554906916.6,2268852.0
173,556209717.8,2196196.0
174,554115960.0,2341508.0
175,552929534.4,2269581.0
176,552811108.0,2256612.0
177,554882804.2,2274737.0
178,554563221.2,2323226.0
179,552668692.0,2222081.0
180,554603982.6,2237810.0
181,553891420.8,2222290.0
182,553371474.0,2296195.0
183,552720995.4,2206977.0
184,552669766.8,2193852.0
185,552760371.0,2164164.0
186,561155540.2,2350362.0
187,552451684.6,2265987.0
188,554942879.6,2188748.0
