model_idx,tf_mem_req_to_load_model,lite_mem_req_to_load_model,tf_mem_req_to_infer_model,lite_mem_req_to_infer_model,tf_total_mem,lite_total_mem
1,19.5,1.4,14.8,0.0,354.5,322.9
2,19.5,1.3,14.7,0.0,354.4,323.3
3,19.5,1.4,14.9,0.0,354.4,322.9
4,19.5,1.3,14.8,0.0,354.4,323.3
5,19.5,1.4,14.8,0.0,354.5,322.9
6,19.5,1.4,14.8,0.0,354.4,323.3
7,19.5,1.4,14.8,0.0,354.5,322.9
8,19.5,1.3,14.8,0.0,354.4,322.9
9,19.5,1.3,14.7,0.0,354.4,323.3
10,19.5,1.4,14.8,0.0,354.4,322.9
11,19.5,1.4,14.8,0.0,354.4,323.3
12,19.5,1.3,14.7,0.0,354.4,322.8
13,19.5,1.4,14.8,0.0,354.4,322.8
14,19.5,1.3,14.7,0.0,354.4,322.9
15,19.5,1.4,14.7,0.0,354.4,322.9
16,19.5,1.4,14.8,0.0,354.5,322.9
17,19.5,1.4,14.8,0.0,354.4,322.9
18,19.6,1.4,14.7,0.0,354.4,322.9
19,19.5,1.4,14.9,0.0,354.4,322.9
20,19.6,1.3,14.6,0.0,354.4,322.9
21,19.5,1.4,14.8,0.0,354.4,322.9
22,19.5,1.3,14.7,0.0,354.4,323.3
23,19.5,1.4,14.8,0.0,354.4,323.3
24,19.5,1.3,14.8,0.0,354.4,322.9
25,19.5,1.3,14.8,0.0,354.5,322.9
26,19.5,1.4,14.8,0.0,354.5,322.9
27,19.5,1.3,14.8,0.0,354.5,323.3
28,19.5,1.4,14.8,0.0,354.4,322.9
29,19.5,1.4,14.8,0.0,354.4,322.9
30,19.6,1.4,14.8,0.0,354.5,322.9
31,19.5,1.4,14.7,0.0,354.4,322.9
32,19.5,1.3,14.8,0.0,354.4,323.3
33,19.5,1.4,14.8,0.0,354.4,322.9
34,19.5,1.3,14.8,0.0,354.4,323.2
35,19.5,1.3,14.8,0.0,354.5,322.9
36,19.5,1.4,14.8,0.0,354.4,322.9
37,19.5,1.4,14.8,0.0,354.4,322.9
38,19.5,1.4,14.8,0.0,354.4,322.9
39,19.5,1.3,14.8,0.0,354.4,322.9
40,19.6,1.3,14.7,0.0,354.4,323.3
41,19.6,1.4,14.8,0.0,354.4,322.9
42,19.5,1.4,14.8,0.0,354.4,322.9
43,19.5,1.3,14.7,0.0,354.4,322.9
44,19.5,1.4,14.8,0.0,354.5,323.3
45,19.5,1.4,14.8,0.0,354.4,322.9
46,19.5,1.3,14.8,0.0,354.4,322.9
47,19.5,1.4,14.7,0.0,354.4,322.9
48,19.5,1.4,14.8,0.0,354.5,322.9
49,20.3,1.3,14.1,0.0,354.5,322.9
50,20.3,1.3,14.0,0.0,354.5,322.8
51,20.3,1.4,13.8,0.0,354.5,322.9
52,20.3,1.4,14.1,0.0,354.5,322.9
53,20.3,1.4,14.0,0.0,354.5,322.9
54,20.4,1.4,14.4,0.0,354.5,322.9
55,20.4,1.3,13.6,0.0,354.5,322.9
56,20.4,1.4,13.7,0.0,354.5,323.3
57,20.2,1.3,14.2,0.0,354.4,322.9
58,20.4,1.4,13.7,0.0,354.5,323.3
59,20.3,1.3,14.0,0.0,354.5,322.9
60,20.2,1.3,14.3,0.0,354.5,322.9
61,20.4,1.3,14.3,0.0,354.5,323.3
62,20.2,1.4,14.2,0.0,354.5,322.9
63,20.4,1.4,13.7,0.0,354.4,322.9
64,20.4,1.3,13.6,0.0,354.4,322.9
65,20.3,1.4,14.1,0.0,354.5,322.9
66,20.3,1.4,14.0,0.0,354.5,323.2
67,20.4,1.4,13.7,0.0,354.5,322.9
