model_idx,tf_time,lite_time,tf_cpu_line,lite_cpu_line,tf_cum_cpu,lite_cum_cpu,tf_mem,lite_mem
1,26.86865234375,0.001953125,246828789.0,48804.0,0.171,0.0,0.2,0.0
2,26.932373046875,0.002197265625,211586731.0,50377.0,0.173,0.0,-0.0,0.0
3,26.8935546875,0.002197265625,212103555.0,48784.0,0.173,0.0,0.2,0.0
4,26.7421875,0.00146484375,213719272.0,51088.0,0.172,0.0,-0.5,0.0
5,26.551025390625,0.001708984375,213711187.0,47806.0,0.171,0.0,-0.4,0.0
6,27.671142578125,0.002197265625,216489106.0,50031.0,0.175,0.0,0.5,0.0
7,26.94091796875,0.002197265625,210656492.0,49202.0,0.173,0.0,-0.4,0.0
8,26.574462890625,0.00146484375,211348347.0,50408.0,0.172,0.0,-0.1,0.0
9,26.54931640625,0.001953125,212196331.0,49886.0,0.171,0.0,-0.3,0.0
10,26.392578125,0.00146484375,216102904.0,50420.0,0.173,0.0,0.4,0.0
11,27.0439453125,0.001953125,214085539.0,52064.0,0.172,0.0,-0.2,0.0
12,26.489990234375,0.001708984375,214373276.0,52245.0,0.173,0.0,-0.4,0.0
13,26.640625,0.00146484375,214812757.0,60468.0,0.174,0.0,-0.0,0.0
14,27.027587890625,0.001708984375,212409069.0,63699.0,0.17,0.0,-0.0,0.0
15,27.09423828125,0.002197265625,213404941.0,50999.0,0.173,0.0,0.5,0.0
16,27.96240234375,0.001708984375,212863328.0,57849.0,0.174,0.0,0.1,0.0
17,26.598876953125,0.001953125,211830550.0,47198.0,0.186,0.0,0.7,0.0
18,26.870361328125,0.00146484375,213437157.0,48767.0,0.174,0.0,-0.1,0.0
19,27.43212890625,0.001953125,224107511.0,61684.0,0.172,0.0,0.5,0.0
20,26.74365234375,0.001953125,210687580.0,48864.0,0.171,0.0,-0.6,0.0
21,27.135498046875,0.001953125,214157692.0,50215.0,0.173,0.0,-0.0,0.0
22,27.4912109375,0.001953125,211373176.0,48004.0,0.174,0.0,-0.4,0.0
23,27.055419921875,0.002197265625,212985294.0,49080.0,0.171,0.0,0.4,0.0
24,26.78955078125,0.001953125,217175277.0,63306.0,0.172,0.0,0.2,0.0
25,27.1279296875,0.00146484375,212897443.0,51884.0,0.172,0.0,0.5,0.0
26,26.18212890625,0.00146484375,213404239.0,49690.0,0.171,0.0,-0.0,0.0
27,27.050537109375,0.001953125,213341241.0,49822.0,0.171,0.0,0.2,0.0
28,27.2529296875,0.00146484375,212164357.0,60420.0,0.173,0.0,-0.0,0.0
29,26.21435546875,0.001953125,210811872.0,63792.0,0.172,0.0,-0.3,0.0
30,27.140869140625,0.001953125,212684239.0,46805.0,0.172,0.0,0.2,0.0
31,26.60302734375,0.001953125,273848693.0,81874.0,0.174,0.0,0.5,0.0
32,26.271728515625,0.001953125,212617501.0,76760.0,0.174,0.0,-0.3,0.0
33,27.4365234375,0.00146484375,214335475.0,55456.0,0.179,0.0,0.5,0.0
34,26.666748046875,0.002197265625,216287375.0,49629.0,0.173,0.0,0.1,0.0
35,27.3173828125,0.001708984375,213119476.0,50728.0,0.174,0.0,-0.8,0.0
36,26.89111328125,0.002197265625,214057673.0,49037.0,0.172,0.0,-0.2,0.0
37,26.883544921875,0.00146484375,216632745.0,49310.0,0.173,0.0,-0.0,0.0
38,27.7509765625,0.002197265625,215693094.0,64518.0,0.172,0.0,-0.0,0.0
39,27.269287109375,0.002197265625,273354168.0,65452.0,0.175,0.0,-0.3,0.0
40,26.47119140625,0.001953125,212595833.0,59665.0,0.171,0.0,-0.4,0.0
41,27.462890625,0.001953125,215798760.0,63357.0,0.173,0.0,0.2,0.0
