idx,device,sample,result_matched,old_time(ms),new_time(ms),diff_time(ms),improved (%)
1,1,1,True,2357.98779296875,139.114501953125,2218.873291015625,94
2,1,2,True,2366.73974609375,137.4423828125,2229.29736328125,94
3,1,3,True,2368.55322265625,138.060546875,2230.49267578125,94
4,1,4,True,2386.80224609375,141.23486328125,2245.5673828125,94
5,1,5,True,2376.84375,139.107421875,2237.736328125,94
6,1,6,True,2374.94580078125,138.30517578125,2236.640625,94
7,1,7,True,2369.646484375,137.72607421875,2231.92041015625,94
8,1,8,True,2375.77099609375,138.430908203125,2237.340087890625,94
9,1,9,True,2370.179443359375,136.392822265625,2233.78662109375,94
10,1,10,True,2377.014404296875,139.102294921875,2237.912109375,94
11,1,11,True,2373.225341796875,141.3427734375,2231.882568359375,94
12,1,12,True,2379.71826171875,140.01953125,2239.69873046875,94
13,1,13,True,2374.7587890625,150.3115234375,2224.447265625,94
14,1,14,True,2374.694580078125,138.72265625,2235.971923828125,94
15,1,15,True,2376.646240234375,141.93212890625,2234.714111328125,94
16,1,16,True,2377.0185546875,139.003662109375,2238.014892578125,94
17,1,17,True,2372.46240234375,143.125,2229.33740234375,94
18,1,18,True,2375.82666015625,139.431396484375,2236.395263671875,94
19,1,19,True,2375.859375,140.71435546875,2235.14501953125,94
20,1,20,True,2372.76025390625,138.73828125,2234.02197265625,94
21,2,1,True,2399.6865234375,300.557373046875,2099.129150390625,87
22,2,2,True,2381.67724609375,322.66943359375,2059.0078125,86
23,2,3,True,2386.65185546875,334.52490234375,2052.126953125,86
24,2,4,True,2386.475830078125,344.986572265625,2041.4892578125,86
25,2,5,True,2392.595947265625,332.24267578125,2060.353271484375,86
26,2,6,True,2397.136962890625,614.214599609375,1782.92236328125,74
27,2,7,True,2392.3115234375,624.761962890625,1767.549560546875,74
28,2,8,True,2375.883056640625,298.95703125,2076.926025390625,87
29,2,9,True,2383.719482421875,333.06103515625,2050.658447265625,86
30,2,10,True,2390.38232421875,632.3642578125,1758.01806640625,74
31,2,11,True,2367.50244140625,332.326171875,2035.17626953125,86
32,2,12,True,2386.635498046875,614.086669921875,1772.548828125,74
33,2,13,True,2369.3447265625,328.707763671875,2040.636962890625,86
34,2,14,True,2377.438232421875,321.44873046875,2055.989501953125,86
35,2,15,True,2389.12548828125,335.79296875,2053.33251953125,86
36,2,16,True,2388.6357421875,320.95458984375,2067.68115234375,87
37,2,17,True,2405.435302734375,592.400146484375,1813.03515625,75
38,2,18,True,2382.6328125,331.2314453125,2051.4013671875,86
39,2,19,True,2383.744873046875,341.568115234375,2042.1767578125,86
40,2,20,True,2385.885986328125,323.714599609375,2062.17138671875,86
