idx,train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
1,3471083652.0,2930793.0,10.5,0.0,154.2
2,3389209195.0,2897063.0,8.4,0.0,161.0
3,3485776877.0,2937765.0,10.5,0.0,161.8
4,3338018608.0,2960163.0,14.7,0.0,156.3
5,3498587047.0,2869857.0,14.0,0.5,158.4
6,3382126250.0,2946656.0,10.5,0.0,151.7
7,3502284459.0,2911678.0,6.5,0.0,150.4
8,3405364976.0,2954781.0,8.5,0.0,148.1
9,3372177435.0,2851035.0,10.6,0.0,155.8
10,3383208196.0,2911450.0,10.4,0.0,159.2
11,3437012359.0,2959705.0,14.4,0.0,158.0
12,3381010531.0,2916343.0,10.4,0.0,155.5
13,3376325867.0,2973783.0,12.5,0.0,155.0
14,3383095161.0,2955733.0,18.5,0.0,164.4
15,3378053234.0,2853204.0,14.5,0.0,156.4
16,3418572960.0,2887635.0,14.4,0.0,157.3
17,3398327125.0,2881266.0,22.5,0.0,166.4
18,3392513445.0,2901522.0,18.7,22.0,185.1
19,3827480044.0,2965169.0,14.5,0.0,164.0
20,3795777696.0,2927312.0,12.4,0.0,157.2
21,3823326422.0,2903951.0,12.6,0.0,161.6
22,3767706573.0,2929487.0,30.4,0.0,180.6
23,3830828719.0,2968014.0,14.5,0.0,163.1
24,3814933981.0,2857230.0,18.4,0.0,160.5
25,3790506933.0,2878125.0,40.7,0.0,184.7
26,3794161148.0,2894284.0,10.4,0.0,155.5
27,3791846449.0,2936909.0,20.5,0.0,166.4
28,3788530728.0,2918796.0,6.4,0.0,159.1
29,3797028977.0,2918572.0,10.4,0.0,156.1
30,3815929955.0,3463021.0,16.5,0.0,163.4
31,3809068430.0,2901002.0,18.7,0.0,161.4
32,3791541811.0,2918155.0,10.4,0.0,153.9
33,3788668873.0,2811497.0,18.4,0.0,159.1
34,3804802745.0,2968234.0,12.5,0.0,155.2
35,3803092836.0,2986249.0,8.6,0.0,158.8
36,3812914122.0,2944586.0,12.6,0.0,163.2
37,1784304870.0,3017065.0,11.6,0.0,153.5
38,1869733768.0,2969128.0,15.6,0.0,159.1
39,1846834028.0,3048041.0,11.4,0.0,162.5
40,1828640551.0,2904328.0,12.2,0.0,156.0
41,1849398871.0,2929960.0,13.8,0.0,162.3
42,1814113680.0,2953640.0,11.5,0.0,164.6
