idx,train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
1,3e+10,24407861.0,0.1,0.5,126.2
2,3e+10,24386382.0,0.1,0.5,126.7
3,3e+10,24312805.0,0.1,0.5,126.3
4,3e+10,24418490.0,0.3,0.2,126.2
5,3e+10,24610735.0,0.3,0.2,125.2
6,3e+10,24268797.0,0.5,0.0,125.2
7,3e+10,24299372.0,0.1,0.6,125.4
8,3e+10,24419896.0,0.1,0.5,125.0
9,3e+10,24151172.0,0.1,0.6,125.4
10,3e+10,24348866.0,0.1,0.5,125.1
11,3e+10,24235680.0,0.1,0.6,125.3
12,3e+10,24177289.0,0.1,0.6,125.7
13,3e+10,24254190.0,0.1,0.6,125.3
14,3e+10,24375990.0,0.1,0.6,125.2
15,3e+10,24307620.0,0.1,0.6,125.4
16,3e+10,24300596.0,0.1,0.6,125.5
17,3e+10,24453413.0,0.1,0.6,125.1
18,3e+10,25396698.0,0.1,0.5,125.5
19,3e+10,24258288.0,0.1,0.5,125.5
20,3e+10,24646859.0,0.1,0.6,125.5
21,3e+10,24446247.0,0.1,0.6,125.3
22,3e+10,24354120.0,0.1,0.5,125.4
23,3e+10,24331989.0,0.1,0.6,125.7
24,3e+10,24365481.0,0.1,0.6,125.6
25,3e+10,24236861.0,0.1,0.6,125.1
26,3e+10,26894113.0,0.1,0.6,125.7
27,3e+10,24329130.0,0.1,0.5,125.4
28,3e+10,24249512.0,0.1,0.6,125.5
29,3e+10,24328246.0,0.1,0.6,125.1
30,3e+10,24222298.0,0.1,0.5,125.4
31,3e+10,24088439.0,0.1,0.6,125.3
32,3e+10,23981812.0,0.1,0.5,125.4
33,3e+10,24091398.0,0.1,0.6,125.3
34,3e+10,24066867.0,0.1,0.6,125.6
35,3e+10,24270098.0,0.1,0.6,125.1
36,3e+10,24238849.0,0.1,0.6,125.5
37,2e+10,23756400.0,3.8,0.0,128.7
38,2e+10,23381295.0,3.8,0.0,128.7
39,2e+10,23876640.0,3.8,0.0,128.6
40,2e+10,23658900.0,3.8,0.0,128.6
41,2e+10,23544924.0,3.8,0.0,128.3
42,2e+10,23662675.0,3.8,0.0,128.9
43,2e+10,23539493.0,3.7,0.0,128.7
44,2e+10,23462042.0,3.8,0.0,128.2
45,2e+10,23635322.0,3.8,0.0,128.2
46,2e+10,23410246.0,3.7,0.0,128.5
47,2e+10,23547964.0,3.8,0.0,128.3
48,2e+10,23510606.0,3.8,0.0,128.2
49,2e+10,23467710.0,3.8,0.0,128.9
50,2e+10,23281627.0,3.8,0.0,128.6
51,2e+10,23457415.0,3.8,0.0,128.3
52,2e+10,23459866.0,3.8,0.0,128.4
53,2e+10,23628889.0,3.8,0.0,128.5
54,2e+10,23463732.0,3.8,0.0,128.7
55,3e+10,25346030.0,0.4,0.0,126.7
56,3e+10,25400087.0,0.3,0.0,127.1
57,3e+10,25561156.0,0.4,0.0,127.1
58,3e+10,25604502.0,0.4,0.0,126.9
59,3e+10,25259042.0,0.1,0.6,125.2
60,3e+10,25420190.0,0.1,0.6,125.5
61,3e+10,25397432.0,0.3,0.0,127.0
62,3e+10,25231027.0,0.4,0.0,126.9
63,3e+10,25187954.0,0.3,0.0,126.8
64,3e+10,25574778.0,0.4,0.0,126.8
65,3e+10,25193684.0,0.1,0.6,125.4
