,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,idx,no_of_layers,l1,l2,l3,activation,solver,learning_rate,alpha,warm_start,precision,recall,f1,training time (ms),inference time (ms)
1,1,1,50,0,0,identity,sgd,constant,0.01,True,0.9201238660501343,0.9175,0.9159394301895439,907.83154296875,0.927001953125
2,2,1,50,0,0,identity,sgd,constant,0.01,False,0.9177250968624928,0.915,0.914217976390411,2243.18212890625,0.94580078125
3,3,1,50,0,0,identity,sgd,adaptive,0.01,True,0.9167736501232079,0.91,0.9079940423457431,1017.282470703125,0.9130859375
4,4,1,50,0,0,identity,sgd,adaptive,0.01,False,0.9147371368595999,0.9125,0.9113223452761942,1013.736572265625,0.933837890625
5,5,1,50,0,0,identity,sgd,invscaling,0.01,True,0.25047054415537906,0.2425,0.21859643138165705,1024.616943359375,0.98974609375
6,6,1,50,0,0,identity,sgd,invscaling,0.01,False,0.21283611834308697,0.22375,0.19980216756093802,1016.864501953125,0.915771484375
7,7,1,50,0,0,identity,sgd,constant,0.001,True,0.9172230284043519,0.915,0.9138728186495778,1015.473876953125,0.906494140625
8,8,1,50,0,0,identity,sgd,constant,0.001,False,0.9168288831494447,0.91375,0.9124435665760555,1018.158935546875,0.90234375
9,9,1,50,0,0,identity,sgd,adaptive,0.001,True,0.9222445220665793,0.92125,0.9198413754167347,1019.96826171875,0.9052734375
10,10,1,50,0,0,identity,sgd,adaptive,0.001,False,0.9186650620011183,0.91625,0.914824843719324,1019.823974609375,0.9013671875
11,11,1,50,0,0,identity,sgd,invscaling,0.001,True,0.13423401643526633,0.1875,0.14295971812617456,1017.021240234375,0.899169921875
12,12,1,50,0,0,identity,sgd,invscaling,0.001,False,0.26243251168388565,0.2575,0.21603536388967068,1018.086669921875,0.9052734375
13,13,1,50,0,0,identity,sgd,constant,0.0001,True,0.9270527224197146,0.9225,0.9218073237688585,1025.687744140625,0.920654296875
14,14,1,50,0,0,identity,sgd,constant,0.0001,False,0.9176549907991871,0.91375,0.9126749844141894,1011.80810546875,0.89697265625
15,15,1,50,0,0,identity,sgd,adaptive,0.0001,True,0.9170035034389379,0.91125,0.9100429415093286,1027.9912109375,0.927978515625
16,16,1,50,0,0,identity,sgd,adaptive,0.0001,False,0.9172728012051691,0.915,0.9136610891564709,1018.171142578125,0.895751953125
17,17,1,50,0,0,identity,sgd,invscaling,0.0001,True,0.18785311829594611,0.16125,0.14422040218319906,1023.1494140625,0.908203125
18,18,1,50,0,0,identity,sgd,invscaling,0.0001,False,0.1441574664713226,0.15,0.13928939094531104,1011.324951171875,0.91748046875
19,19,1,50,0,0,identity,adam,constant,0.01,True,0.9649419951185406,0.96375,0.963542962422835,1172.9404296875,0.901611328125
20,20,1,50,0,0,identity,adam,constant,0.01,False,0.9594327082739558,0.9575,0.9573135150740049,1175.82275390625,0.91455078125
21,21,1,50,0,0,identity,adam,adaptive,0.01,True,0.9557495336350986,0.95375,0.9534548211246906,1168.9501953125,0.914794921875
22,22,1,50,0,0,identity,adam,adaptive,0.01,False,0.9574392214682389,0.95625,0.956039748347485,1182.392333984375,0.912353515625
23,23,1,50,0,0,identity,adam,invscaling,0.01,True,0.9572706329744615,0.955,0.9547795001070303,1171.02099609375,0.911865234375
24,24,1,50,0,0,identity,adam,invscaling,0.01,False,0.9626153160271967,0.96125,0.9609986992180178,1171.47607421875,0.906982421875
25,25,1,50,0,0,identity,adam,constant,0.001,True,0.9597054851226865,0.9575,0.9574112487706102,1180.16845703125,0.91650390625
26,26,1,50,0,0,identity,adam,constant,0.001,False,0.9631951747649503,0.96125,0.9611199767586095,1170.854248046875,0.913330078125
27,27,1,50,0,0,identity,adam,adaptive,0.001,True,0.9569106274053066,0.955,0.9547954806379014,1172.948486328125,0.896240234375
28,28,1,50,0,0,identity,adam,adaptive,0.001,False,0.9542749857365388,0.9525,0.9519885663337894,1182.47998046875,0.916748046875
29,29,1,50,0,0,identity,adam,invscaling,0.001,True,0.9625708273872661,0.96125,0.961006892931414,1177.8525390625,0.889404296875
30,30,1,50,0,0,identity,adam,invscaling,0.001,False,0.9560631615353761,0.95375,0.9534810291752888,1171.574951171875,0.8876953125
