,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,idx,no_of_layers,l1,l2,l3,activation,solver,learning_rate,alpha,warm_start,precision,recall,f1,training time (ms),inference time (ms)
1,1,1,50,0,0,identity,sgd,constant,0.01,True,0.9191803264743007,0.9175,0.9168261682237204,16938.78564453125,14.6337890625
2,2,1,50,0,0,identity,sgd,constant,0.01,False,0.9191455436102416,0.9175,0.9162725094092785,17475.649658203125,14.846923828125
3,3,1,50,0,0,identity,sgd,adaptive,0.01,True,0.9148189074663802,0.9125,0.9110254168673341,27148.009521484375,22.302978515625
4,4,1,50,0,0,identity,sgd,adaptive,0.01,False,0.9168608778702187,0.91375,0.9129483522353179,28362.124755859375,22.409912109375
5,5,1,50,0,0,identity,sgd,invscaling,0.01,True,0.19482940317811095,0.23625,0.1985466221496011,28417.760009765625,22.3388671875
6,6,1,50,0,0,identity,sgd,invscaling,0.01,False,0.16969743645016408,0.20375,0.17128643192150075,28450.427734375,22.36474609375
7,7,1,50,0,0,identity,sgd,constant,0.001,True,0.904596145560088,0.9025,0.9008254988316423,28571.15283203125,22.3515625
8,8,1,50,0,0,identity,sgd,constant,0.001,False,0.9179020336590046,0.91625,0.9147668287599044,28466.71044921875,22.376953125
9,9,1,50,0,0,identity,sgd,adaptive,0.001,True,0.9195968054574197,0.91625,0.9145182729187689,28431.482421875,22.491943359375
10,10,1,50,0,0,identity,sgd,adaptive,0.001,False,0.9193422286717997,0.9175,0.9155918712012763,28459.656982421875,22.426513671875
11,11,1,50,0,0,identity,sgd,invscaling,0.001,True,0.27600928473550623,0.25125,0.24653053510049217,33407.818115234375,22.3544921875
12,12,1,50,0,0,identity,sgd,invscaling,0.001,False,0.25925429964353336,0.31,0.2621288075614298,29170.543701171875,22.401611328125
13,13,1,50,0,0,identity,sgd,constant,0.0001,True,0.9221040081612198,0.9175,0.9161709930488595,29075.17529296875,22.387939453125
14,14,1,50,0,0,identity,sgd,constant,0.0001,False,0.9163905759154051,0.9125,0.9110819948516287,28508.611328125,22.38720703125
15,15,1,50,0,0,identity,sgd,adaptive,0.0001,True,0.9168486478951595,0.91375,0.912568566853105,32189.538330078125,22.379638671875
16,16,1,50,0,0,identity,sgd,adaptive,0.0001,False,0.9129672105004409,0.91,0.9082354857347852,28605.574462890625,22.259521484375
17,17,1,50,0,0,identity,sgd,invscaling,0.0001,True,0.2213157458344092,0.24125,0.20375773942266026,28439.208251953125,22.37451171875
18,18,1,50,0,0,identity,sgd,invscaling,0.0001,False,0.22008217136251823,0.22375,0.2001967108614874,28375.3447265625,22.451171875
19,19,1,50,0,0,identity,adam,constant,0.01,True,0.9550710713077574,0.95375,0.9535863571904809,31506.751708984375,22.434814453125
20,20,1,50,0,0,identity,adam,constant,0.01,False,0.9627455089414076,0.96125,0.961114777186285,31493.140380859375,22.19970703125
21,21,1,50,0,0,identity,adam,adaptive,0.01,True,0.9588285204707568,0.9575,0.9572212740407455,31438.607421875,22.325927734375
22,22,1,50,0,0,identity,adam,adaptive,0.01,False,0.9637940480617062,0.9625,0.9622599335345546,31478.5517578125,22.335693359375
23,23,1,50,0,0,identity,adam,invscaling,0.01,True,0.953771318644338,0.9525,0.9521087818632553,31410.985595703125,22.368408203125
24,24,1,50,0,0,identity,adam,invscaling,0.01,False,0.9595895628382866,0.9575,0.9574065756839666,31488.54345703125,22.355712890625
25,25,1,50,0,0,identity,adam,constant,0.001,True,0.9542795060450454,0.9525,0.9521811694672945,31455.4296875,22.26953125
26,26,1,50,0,0,identity,adam,constant,0.001,False,0.9537694753825344,0.9525,0.9520056767703103,31472.497802734375,22.440185546875
27,27,1,50,0,0,identity,adam,adaptive,0.001,True,0.9542526002735953,0.9525,0.9522462460029593,31513.883056640625,22.34228515625
28,28,1,50,0,0,identity,adam,adaptive,0.001,False,0.9587203019868339,0.9575,0.9572699419111318,31431.75146484375,22.3525390625
29,29,1,50,0,0,identity,adam,invscaling,0.001,True,0.9572521489851401,0.955,0.9549143647620033,31771.84228515625,22.392578125
30,30,1,50,0,0,identity,adam,invscaling,0.001,False,0.9619595955463801,0.96,0.9597967155119435,31629.013427734375,22.247314453125
