idx,device,sample,cpu_line (pc),cpu_line (orin),cpu_line (pi)
1,1,1,213879704.0,789615595.0,2561305399.0
2,1,2,215231455.0,781102282.0,2588361673.0
3,1,3,216929841.0,784395387.0,2565481971.0
4,1,4,212120571.0,777477956.0,2560017226.0
5,1,5,225102079.0,800214172.0,2579834128.0
6,1,6,216563725.0,798288375.0,2581038382.0
7,1,7,215485875.0,742469792.0,2562311503.0
8,1,8,213010291.0,858719275.0,2558168719.0
9,1,9,214792795.0,802921006.0,2572637928.0
10,1,10,216994072.0,758138332.0,2564270576.0
11,1,11,217244738.0,796262028.0,2571245865.0
12,1,12,217440760.0,779233672.0,2575388305.0
13,1,13,215398940.0,783464415.0,2579065803.0
14,1,14,216427490.0,781455082.0,2555247742.0
15,1,15,215470729.0,773470487.0,2543618973.0
16,1,16,214936693.0,788380248.0,2571991137.0
17,1,17,214861988.0,804077305.0,2568427012.0
18,1,18,214488459.0,778574688.0,2552517811.0
19,1,19,214590846.0,796762312.0,2593864206.0
20,1,20,214342693.0,805059786.0,2554654514.0
21,2,1,216317413.0,784761486.0,2599385096.0
22,2,2,216912455.0,783946994.0,2582625281.0
23,2,3,215238535.0,783808509.0,2611437161.0
24,2,4,214834782.0,810200752.0,2567155794.0
25,2,5,212984110.0,801494942.0,2555389054.0
26,2,6,213291932.0,797826899.0,2559377454.0
27,2,7,215177554.0,802216978.0,2560360128.0
28,2,8,219076385.0,779961450.0,2595208476.0
29,2,9,214311146.0,798482755.0,2634922723.0
30,2,10,216736589.0,771391994.0,2603997616.0
31,2,11,217166283.0,776145880.0,2561224314.0
32,2,12,216112333.0,791330975.0,2584132890.0
33,2,13,216288600.0,794406573.0,2560122920.0
34,2,14,217110599.0,778345127.0,2552907296.0
35,2,15,213867549.0,799613605.0,2574318905.0
36,2,16,214512643.0,785962462.0,2560223629.0
37,2,17,214906348.0,785216963.0,2592592526.0
38,2,18,212336591.0,786792374.0,2560124923.0
39,2,19,213788453.0,797307602.0,2560282281.0
40,2,20,214927177.0,760674634.0,2581335583.0
41,3,1,210635528.0,787231309.0,2490500447.0
42,3,2,212231285.0,787030053.0,2446307506.0
43,3,3,216503426.0,783692612.0,2514595889.0
44,3,4,216748178.0,797936685.0,2499470622.0
45,3,5,213453362.0,769095704.0,2531179771.0
46,3,6,211313494.0,783218044.0,2479453199.0
47,3,7,213068907.0,769952015.0,2485786743.0
48,3,8,213340286.0,774611653.0,2475998075.0
49,3,9,210440235.0,785974241.0,2484228680.0
50,3,10,226175548.0,777856493.0,2469463250.0
51,3,11,210020256.0,776760869.0,2487899308.0
52,3,12,209170958.0,786204106.0,2481978918.0
53,3,13,209073791.0,770730432.0,2466084112.0
54,3,14,213780773.0,773007829.0,2514468506.0
55,3,15,214139611.0,775111250.0,2476570859.0
56,3,16,210825251.0,803390317.0,2517599786.0
57,3,17,210145752.0,801821147.0,2517894419.0
58,3,18,210780665.0,781626774.0,2480081010.0
59,3,19,212247940.0,786280582.0,2443439740.0
60,3,20,211455855.0,790549739.0,2499871491.0
61,4,1,229288392.0,882893874.0,2979386058.0
62,4,2,223995465.0,849240433.0,2825800618.0
63,4,3,224582193.0,781202332.0,2835969980.0
64,4,4,224226402.0,793802927.0,2836451873.0
65,4,5,219019559.0,770547874.0,2696764009.0
66,4,6,223116920.0,779155495.0,2809217970.0
67,4,7,224740422.0,832825138.0,2866000729.0
68,4,8,219097310.0,771172850.0,2696901739.0
69,4,9,225171801.0,823674356.0,2815176248.0
70,4,10,224455378.0,792736188.0,2864055268.0
71,4,11,224077596.0,776812790.0,2818091299.0
72,4,12,217768446.0,790701662.0,2678944532.0
73,4,13,224600672.0,799995163.0,2821002301.0
74,4,14,223170276.0,793756312.0,2827161456.0
75,4,15,225186877.0,791589621.0,2829167469.0
76,4,16,223179930.0,927719008.0,2835653994.0
77,4,17,221370869.0,795765648.0,2828532198.0
78,4,18,225400877.0,785656719.0,2764638819.0
79,4,19,231713214.0,819403386.0,2997485228.0
80,4,20,226950682.0,787585207.0,2843710298.0
81,5,1,215044926.0,791861813.0,2548708822.0
82,5,2,214006837.0,802223399.0,2545490345.0
83,5,3,213684062.0,791444020.0,2550251835.0
84,5,4,217595971.0,775104253.0,2557053364.0
85,5,5,214268870.0,803168531.0,2547335844.0
86,5,6,214311309.0,811833984.0,2545086710.0
87,5,7,215042736.0,794100616.0,2576982303.0
88,5,8,219421888.0,803600342.0,2550499932.0
89,5,9,215526147.0,761260904.0,2575991314.0
90,5,10,211535397.0,801831612.0,2571896687.0
91,5,11,213159396.0,793884075.0,2537064032.0
92,5,12,216193884.0,788622753.0,2642457800.0
93,5,13,211987409.0,786286215.0,2534166447.0
94,5,14,213660126.0,766206570.0,2538429515.0
95,5,15,212665377.0,807247217.0,2547862289.0
96,5,16,216725280.0,782510304.0,2568880370.0
97,5,17,218346475.0,783140640.0,2564871860.0
98,5,18,218856795.0,786671718.0,2565644125.0
99,5,19,213292738.0,801660741.0,2538987329.0
100,5,20,212873855.0,789764416.0,2597529487.0
101,6,1,215337209.0,799593206.0,2585134490.0
102,6,2,215517186.0,781322661.0,2601932311.0
103,6,3,213700187.0,795596410.0,2553568260.0
104,6,4,216389731.0,809456616.0,2615561792.0
105,6,5,218145687.0,784725261.0,2589281943.0
106,6,6,215117556.0,770320901.0,2589734410.0
107,6,7,216430183.0,787239876.0,2600692845.0
108,6,8,215070751.0,799484375.0,2563032778.0
109,6,9,220042408.0,766503208.0,2624943465.0
110,6,10,214371902.0,805292985.0,2572551974.0
111,6,11,215799837.0,786966404.0,2602973625.0
112,6,12,217698734.0,840499219.0,2605436683.0
113,6,13,219588291.0,779696610.0,2630937742.0
114,6,14,216326725.0,800135238.0,2595928533.0
115,6,15,217966429.0,787168404.0,2630610023.0
116,6,16,216552863.0,786296492.0,2603778723.0
117,6,17,215339023.0,814362291.0,2567251857.0
118,6,18,215671274.0,796180238.0,2617716230.0
119,6,19,216892538.0,802928030.0,2638785910.0
120,6,20,215337572.0,787047538.0,2594240874.0
121,7,1,217008801.0,792726535.0,2642873612.0
122,7,2,218324212.0,771806597.0,2615762978.0
123,7,3,216409575.0,787257900.0,2629380800.0
124,7,4,218115050.0,773019506.0,2648083354.0
125,7,5,217145745.0,802915791.0,2616413631.0
126,7,6,214531047.0,817605491.0,2600606462.0
127,7,7,222932276.0,794592719.0,2656187897.0
128,7,8,219043792.0,795204685.0,2658918559.0
129,7,9,217303332.0,792456993.0,2639600827.0
130,7,10,220741492.0,795154797.0,2587532137.0
131,7,11,215255070.0,765454538.0,2525665823.0
132,7,12,221056143.0,772914928.0,2594469073.0
133,7,13,218608232.0,788954860.0,2634082179.0
134,7,14,219832504.0,805753699.0,2640720768.0
135,7,15,222237410.0,784531374.0,2616809368.0
136,7,16,214149244.0,817560365.0,2589009766.0
137,7,17,217989285.0,781182786.0,2593710404.0
138,7,18,215826815.0,801303595.0,2600922491.0
139,7,19,216676515.0,790806468.0,2595735342.0
140,7,20,217360181.0,790751026.0,2597512213.0
141,8,1,219071115.0,825542589.0,2624484191.0
142,8,2,227525100.0,796064820.0,2624560270.0
143,8,3,216594043.0,792173856.0,2626280270.0
144,8,4,217246027.0,810419158.0,2611126093.0
145,8,5,218455205.0,782450050.0,2602778673.0
146,8,6,259468271.0,779967555.0,2623497385.0
147,8,7,224611901.0,771269372.0,2530968894.0
148,8,8,215804256.0,775824255.0,2597433063.0
149,8,9,216355617.0,798881651.0,2614239169.0
150,8,10,215776523.0,773112062.0,2595219959.0
151,8,11,215853160.0,817439609.0,2638865688.0
152,8,12,219859120.0,779770942.0,2591935085.0
153,8,13,217722846.0,798244434.0,2632007457.0
154,8,14,216687599.0,767754915.0,2624116616.0
155,8,15,213585962.0,783920455.0,2592401393.0
156,8,16,216474902.0,800090969.0,2612908088.0
157,8,17,216107086.0,780486783.0,2619611316.0
158,8,18,215705589.0,777770606.0,2600992524.0
159,8,19,215514439.0,726938563.0,2610887740.0
160,8,20,216282798.0,801533263.0,2605133599.0
161,9,1,216364879.0,808869951.0,2626226300.0
162,9,2,217243505.0,780902257.0,2621929493.0
163,9,3,229288221.0,781186246.0,2598380531.0
164,9,4,213311865.0,790219760.0,2532760035.0
165,9,5,217346315.0,795875752.0,2637877552.0
166,9,6,216710060.0,768336452.0,2613717282.0
167,9,7,216578793.0,801637679.0,2600540444.0
168,9,8,212270551.0,768218253.0,2565711685.0
169,9,9,216215040.0,789423089.0,2674679288.0
170,9,10,217541435.0,803012561.0,2568075835.0
171,9,11,217645951.0,787324323.0,2619698393.0
172,9,12,216508584.0,782461665.0,2617738226.0
173,9,13,219584937.0,788406762.0,2619388629.0
174,9,14,215778258.0,770406524.0,2619500183.0
175,9,15,216179170.0,778416353.0,2611575139.0
176,9,16,218375726.0,798742617.0,2579165949.0
177,9,17,222315152.0,796381123.0,2629387500.0
178,9,18,215473850.0,794551971.0,2591921827.0
179,9,19,218783089.0,812332820.0,2637414280.0
180,9,20,216791685.0,789160542.0,2685805393.0
181,10,1,212509609.0,807985823.0,2584119043.0
182,10,2,214594035.0,793052360.0,2570324393.0
183,10,3,214010329.0,806054462.0,2570779307.0
184,10,4,214886936.0,787855288.0,2590396233.0
185,10,5,214847993.0,778766946.0,2551492395.0
186,10,6,216157733.0,794702719.0,2610612391.0
187,10,7,215940504.0,807094222.0,2584789264.0
188,10,8,214404011.0,772686469.0,2589993444.0
189,10,9,218003930.0,705723264.0,2562703626.0
190,10,10,218852045.0,780484212.0,2593787217.0
191,10,11,214088755.0,760787996.0,2600848394.0
192,10,12,215489724.0,786120832.0,2564192918.0
193,11,1,216413946.0,766519463.0,2610432762.0
194,11,2,215455152.0,799871932.0,2573663644.0
195,11,3,216738297.0,780220798.0,2563108116.0
196,11,5,214287814.0,778512059.0,2585475942.0
197,11,6,214521680.0,809804378.0,2558203063.0
198,11,7,216137291.0,809371612.0,2580331136.0
199,11,8,216344010.0,766188825.0,2573364495.0
200,11,9,215851651.0,791910804.0,2557110072.0
201,12,1,219217999.0,787783481.0,2690785999.0
202,12,2,217509522.0,779805359.0,2700634170.0
203,12,3,216001921.0,781737798.0,2595188779.0
204,12,4,220189261.0,789795731.0,2665149803.0
205,12,5,215715980.0,786567466.0,2654968038.0
206,12,6,220062725.0,779221355.0,2676584037.0
