idx,device,sample,total_mem (pc),total_mem (orin),total_mem (pi),mem_increment (pc),mem_increment (orin),mem_increment (pi)
1,1,1,27.9,24.6,19.9,1.4,1.4,1.3
2,1,2,27.9,25.0,20.0,1.4,1.5,1.3
3,1,3,28.1,24.9,20.0,1.5,1.4,1.3
4,1,4,27.6,24.6,20.0,1.2,1.4,1.1
5,1,5,27.9,25.0,19.9,1.4,1.4,1.1
6,1,6,27.9,24.3,19.9,1.2,1.3,1.1
7,1,7,28.0,25.0,19.8,1.4,1.4,1.1
8,1,8,27.7,24.4,19.9,1.2,1.4,1.2
9,1,9,27.8,25.2,19.8,1.4,1.6,1.3
10,1,10,27.9,24.1,19.8,1.5,1.1,1.0
11,1,11,27.8,24.9,20.0,1.2,1.4,1.3
12,1,12,28.0,24.4,19.8,1.5,1.4,1.1
13,1,13,28.2,24.7,19.8,1.6,1.3,1.1
14,1,14,27.5,24.3,19.9,1.1,1.3,1.3
15,1,15,27.8,25.0,19.8,1.4,1.4,1.3
16,1,16,27.8,25.0,20.0,1.4,1.4,1.1
17,1,17,27.8,25.2,19.9,1.5,1.6,1.3
18,1,18,27.9,24.4,19.8,1.2,1.3,1.1
19,1,19,27.7,24.4,19.8,1.2,1.4,1.2
20,1,20,27.9,24.6,19.8,1.4,1.4,1.0
21,2,1,27.9,25.1,20.0,1.6,1.5,1.4
22,2,2,27.8,24.7,19.8,1.2,1.4,1.1
23,2,3,27.8,24.9,19.8,1.2,1.5,1.2
24,2,4,27.8,24.9,19.9,1.4,1.5,1.3
25,2,5,27.9,24.4,19.8,1.5,1.4,1.3
26,2,6,27.7,24.7,19.7,1.4,1.5,1.2
27,2,7,28.1,24.7,20.0,1.5,1.5,1.3
28,2,8,27.7,24.6,19.8,1.4,1.5,1.1
29,2,9,27.8,24.6,20.0,1.4,1.4,1.1
30,2,10,27.8,25.0,20.0,1.6,1.5,1.1
31,2,11,27.8,24.9,20.0,1.4,1.6,1.1
32,2,12,27.9,24.7,19.9,1.5,1.5,1.3
33,2,13,27.7,25.1,20.0,1.2,1.6,1.4
34,2,14,27.8,24.7,19.8,1.4,1.5,1.1
35,2,15,28.0,24.5,20.0,1.5,1.4,1.4
36,2,16,27.8,24.6,20.0,1.3,1.5,1.4
37,2,17,28.0,25.1,19.9,1.5,1.6,1.3
38,2,18,28.0,25.1,20.0,1.4,1.5,1.4
39,2,19,27.8,24.9,20.0,1.2,1.5,1.4
40,2,20,28.2,24.9,20.0,1.6,1.5,1.3
41,3,1,27.6,24.8,19.6,1.2,1.4,1.1
42,3,2,27.8,24.5,19.7,1.2,1.2,1.1
43,3,3,27.8,24.8,19.7,1.4,1.3,1.0
44,3,4,27.9,24.6,19.8,1.2,1.4,1.0
45,3,5,27.6,24.6,20.0,1.1,1.3,1.3
46,3,6,27.9,24.3,19.8,1.4,1.3,1.2
47,3,7,27.5,24.6,19.9,1.1,1.3,1.2
48,3,8,27.8,24.8,19.7,1.4,1.3,1.1
49,3,9,27.7,24.6,19.7,1.2,1.4,1.0
50,3,10,27.7,24.8,19.8,1.2,1.3,1.1
51,3,11,27.7,24.6,19.8,1.2,1.4,1.2
52,3,12,27.8,25.0,19.7,1.2,1.4,1.1
53,3,13,27.6,24.5,19.8,1.2,1.2,0.9
54,3,14,27.9,24.5,19.9,1.2,1.3,1.3
55,3,15,28.0,24.8,19.8,1.4,1.3,1.1
56,3,16,27.7,24.1,19.8,1.4,1.0,1.0
57,3,17,27.9,24.4,19.7,1.4,1.4,1.1
58,3,18,27.8,24.6,19.8,1.2,1.3,1.0
59,3,19,27.7,24.5,19.8,1.1,1.3,0.9
60,3,20,27.6,24.6,19.8,1.1,1.4,1.1
61,4,1,28.7,26.3,20.7,2.3,2.7,2.0
62,4,2,28.3,25.3,20.0,1.6,1.8,1.5
63,4,3,28.1,24.8,20.2,1.8,1.8,1.3
64,4,4,28.1,25.1,20.0,1.9,1.9,1.3
65,4,5,27.6,24.4,19.8,1.1,1.3,1.0
66,4,6,28.1,25.0,19.9,1.6,1.8,1.2
67,4,7,28.2,25.2,20.1,1.8,1.9,1.6
68,4,8,27.7,24.7,19.8,1.1,1.4,1.1
69,4,9,28.3,24.7,20.1,1.7,1.6,1.5
70,4,10,28.1,24.9,20.2,1.8,1.9,1.4
71,4,11,28.1,25.1,19.9,1.9,1.9,1.4
72,4,12,27.9,24.7,19.9,1.5,1.4,1.3
73,4,13,28.5,25.5,20.2,1.9,1.9,1.6
74,4,14,28.4,25.5,20.1,1.8,1.9,1.3
75,4,15,28.2,24.7,20.0,1.8,1.7,1.3
76,4,16,28.4,25.0,20.1,1.8,1.9,1.4
77,4,17,28.5,25.1,20.2,1.9,1.9,1.4
78,4,18,28.2,24.7,20.0,1.6,1.7,1.3
79,4,19,28.9,26.1,20.4,2.4,2.8,1.7
80,4,20,28.1,25.6,20.2,1.6,2.1,1.6
81,5,1,27.7,24.4,19.9,1.4,1.4,1.0
82,5,2,28.1,24.6,19.9,1.5,1.5,1.4
83,5,3,27.9,24.4,19.9,1.5,1.4,1.3
84,5,4,27.9,24.9,19.8,1.4,1.4,1.2
85,5,5,28.0,24.8,19.9,1.2,1.6,1.3
86,5,6,27.7,24.4,19.9,1.2,1.4,1.3
87,5,7,27.7,24.9,19.7,1.5,1.5,1.1
88,5,8,27.9,24.6,19.7,1.2,1.3,1.2
89,5,9,28.0,24.4,19.7,1.4,1.4,1.0
90,5,10,28.0,25.1,19.9,1.4,1.6,1.2
91,5,11,27.8,25.0,19.8,1.4,1.5,1.3
92,5,12,27.9,24.9,20.0,1.3,1.5,1.1
93,5,13,28.0,24.7,19.9,1.5,1.5,1.2
94,5,14,27.8,24.9,19.8,1.4,1.6,1.1
95,5,15,28.1,24.6,19.7,1.5,1.4,1.0
96,5,16,27.9,24.8,19.8,1.4,1.5,1.1
97,5,17,27.9,25.1,19.7,1.2,1.5,1.0
98,5,18,27.8,24.9,19.7,1.2,1.4,1.0
99,5,19,27.8,24.3,20.0,1.4,1.3,1.3
100,5,20,27.8,24.6,20.0,1.4,1.3,1.1
101,6,1,28.2,24.9,20.0,1.6,1.7,1.4
