idx,no_of_layers,l1,l2,l3,activation,solver,learning_rate,alpha,warm_start,precision,recall,f1,training time (ms),inference time (ms),train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
1,1,50,0,0,identity,sgd,constant,0.01,TRUE,0.9177985745,0.9125,0.9117074254,3466.309326,2.792480469,3471083652,2930793,10.5,0,154.2
2,1,50,0,0,identity,sgd,constant,0.01,FALSE,0.9201851786,0.915,0.9139168874,3512.790771,2.642822266,3389209195,2897063,8.4,0,161
3,1,50,0,0,identity,sgd,adaptive,0.01,TRUE,0.9177876169,0.915,0.9137870826,3180.855225,2.617431641,3485776877,2937765,10.5,0,161.8
4,1,50,0,0,identity,sgd,adaptive,0.01,FALSE,0.9099213133,0.90625,0.9051900895,3202.138428,2.610839844,3338018608,2960163,14.7,0,156.3
5,1,50,0,0,identity,sgd,invscaling,0.01,TRUE,0.1747820059,0.19125,0.1681987871,3324.33374,2.705078125,3498587047,2869857,14,0.5,158.4
6,1,50,0,0,identity,sgd,invscaling,0.01,FALSE,0.2483432289,0.25875,0.2399095459,3406.129395,2.615966797,3382126250,2946656,10.5,0,151.7
7,1,50,0,0,identity,sgd,constant,0.001,TRUE,0.9228553724,0.91875,0.9178688819,3247.817627,2.640380859,3502284459,2911678,6.5,0,150.4
8,1,50,0,0,identity,sgd,constant,0.001,FALSE,0.9067567104,0.90375,0.9022977656,3196.571045,2.663330078,3405364976,2954781,8.5,0,148.1
9,1,50,0,0,identity,sgd,adaptive,0.001,TRUE,0.915505678,0.9125,0.9113634536,3467.632568,2.7109375,3372177435,2851035,10.6,0,155.8
10,1,50,0,0,identity,sgd,adaptive,0.001,FALSE,0.9189595815,0.9175,0.9165149124,3470.580322,2.700683594,3383208196,2911450,10.4,0,159.2
11,1,50,0,0,identity,sgd,invscaling,0.001,TRUE,0.1841789352,0.205,0.1744953442,3200.168945,2.6875,3437012359,2959705,14.4,0,158
12,1,50,0,0,identity,sgd,invscaling,0.001,FALSE,0.1914526407,0.23875,0.2025931578,3311.319092,2.643310547,3381010531,2916343,10.4,0,155.5
13,1,50,0,0,identity,sgd,constant,0.0001,TRUE,0.9235649626,0.92125,0.9204450377,3305.003906,2.631591797,3376325867,2973783,12.5,0,155
14,1,50,0,0,identity,sgd,constant,0.0001,FALSE,0.9188130032,0.915,0.9139641655,3428.144043,2.685546875,3383095161,2955733,18.5,0,164.4
15,1,50,0,0,identity,sgd,adaptive,0.0001,TRUE,0.9245722762,0.92,0.9193099068,3481.157227,2.905273438,3378053234,2853204,14.5,0,156.4
16,1,50,0,0,identity,sgd,adaptive,0.0001,FALSE,0.9208206273,0.9175,0.9160493884,3439.431152,2.643066406,3418572960,2887635,14.4,0,157.3
17,1,50,0,0,identity,sgd,invscaling,0.0001,TRUE,0.1560562101,0.18625,0.15922769,3361.693115,2.694824219,3398327125,2881266,22.5,0,166.4
18,1,50,0,0,identity,sgd,invscaling,0.0001,FALSE,0.192175354,0.185,0.162399444,3414.596191,2.673339844,3392513445,2901522,18.7,22,185.1
19,1,50,0,0,identity,adam,constant,0.01,TRUE,0.9552842385,0.95375,0.9534931034,3743.655029,2.674316406,3827480044,2965169,14.5,0,164
20,1,50,0,0,identity,adam,constant,0.01,FALSE,0.9580631988,0.95625,0.9560001852,3767.921143,2.747314453,3795777696,2927312,12.4,0,157.2
21,1,50,0,0,identity,adam,adaptive,0.01,TRUE,0.9595484851,0.9575,0.9574708803,3603.441406,2.648681641,3823326422,2903951,12.6,0,161.6
22,1,50,0,0,identity,adam,adaptive,0.01,FALSE,0.960762053,0.95875,0.9585295062,3686.394043,2.684082031,3767706573,2929487,30.4,0,180.6
23,1,50,0,0,identity,adam,invscaling,0.01,TRUE,0.959431414,0.9575,0.9571920092,3685.331055,2.651611328,3830828719,2968014,14.5,0,163.1
24,1,50,0,0,identity,adam,invscaling,0.01,FALSE,0.9583672166,0.95625,0.9561747567,3589.246826,2.670410156,3814933981,2857230,18.4,0,160.5
25,1,50,0,0,identity,adam,constant,0.001,TRUE,0.9604846401,0.95875,0.9586187311,3816.056641,2.680175781,3790506933,2878125,40.7,0,184.7
26,1,50,0,0,identity,adam,constant,0.001,FALSE,0.9581172867,0.95625,0.9559815184,3868.237549,2.681640625,3794161148,2894284,10.4,0,155.5
27,1,50,0,0,identity,adam,adaptive,0.001,TRUE,0.9526991314,0.95,0.9496080041,3743.620361,2.631347656,3791846449,2936909,20.5,0,166.4
28,1,50,0,0,identity,adam,adaptive,0.001,FALSE,0.9577601024,0.95625,0.9559404996,3869.387939,2.667480469,3788530728,2918796,6.4,0,159.1
29,1,50,0,0,identity,adam,invscaling,0.001,TRUE,0.9590075744,0.9575,0.957293842,3697.343994,2.649902344,3797028977,2918572,10.4,0,156.1
30,1,50,0,0,identity,adam,invscaling,0.001,FALSE,0.9600685345,0.95875,0.9585531128,4077.664307,2.699951172,3815929955,3463021,16.5,0,163.4
31,1,50,0,0,identity,adam,constant,0.0001,TRUE,0.9602706852,0.95875,0.9585757778,3621.918701,2.636230469,3809068430,2901002,18.7,0,161.4
32,1,50,0,0,identity,adam,constant,0.0001,FALSE,0.957494572,0.95625,0.9559350201,3555.330322,2.620117188,3791541811,2918155,10.4,0,153.9
33,1,50,0,0,identity,adam,adaptive,0.0001,TRUE,0.953706172,0.9525,0.9520688037,3560.383301,2.591552734,3788668873,2811497,18.4,0,159.1
34,1,50,0,0,identity,adam,adaptive,0.0001,FALSE,0.9599625701,0.95875,0.9585908452,3555.518799,2.594726563,3804802745,2968234,12.5,0,155.2
35,1,50,0,0,identity,adam,invscaling,0.0001,TRUE,0.9576574751,0.95625,0.9559317961,3554.375732,2.622802734,3803092836,2986249,8.6,0,158.8
36,1,50,0,0,identity,adam,invscaling,0.0001,FALSE,0.9589223199,0.9575,0.9572965137,3620.911865,2.644287109,3812914122,2944586,12.6,0,163.2
37,1,50,0,0,identity,lbfgs,constant,0.01,TRUE,0.9584370085,0.9575,0.95739741,1808.831299,2.727539063,1784304870,3017065,11.6,0,153.5
38,1,50,0,0,identity,lbfgs,constant,0.01,FALSE,0.9589444489,0.9575,0.9574177908,1824.055664,2.740722656,1869733768,2969128,15.6,0,159.1
39,1,50,0,0,identity,lbfgs,adaptive,0.01,TRUE,0.9519922544,0.95125,0.9511093188,1745.600586,2.72265625,1846834028,3048041,11.4,0,162.5
40,1,50,0,0,identity,lbfgs,adaptive,0.01,FALSE,0.9628494117,0.96125,0.9609486149,1836.300293,2.778076172,1828640551,2904328,12.2,0,156
