idx,no_of_layers,l1,l2,l3,activation,solver,learning_rate,alpha,warm_start,precision,recall,f1,training time (ms),inference time (ms),train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
6305,3,150,150,150,tanh,lbfgs,invscaling,0.01,TRUE,0.9665811131,0.96625,0.9661902494,3155.952393,8.275390625,1678178750,3680763,40.3,0,268.2
6154,3,150,150,100,tanh,lbfgs,adaptive,0.0001,FALSE,0.966877189,0.96625,0.9661833001,3012.77124,9.481201172,1736048248,3371608,40.2,0,268.1
6155,3,150,150,100,tanh,lbfgs,invscaling,0.0001,TRUE,0.9618955777,0.96125,0.9613136754,4077.146729,7.175048828,1160458333,3355437,40.6,0,267.8
6144,3,150,150,100,tanh,lbfgs,invscaling,0.01,FALSE,0.972887184,0.9725,0.9724770528,3427.538818,7.103271484,1493871449,3345321,39.8,0.2,267.6
6156,3,150,150,100,tanh,lbfgs,invscaling,0.0001,FALSE,0.9695124782,0.96875,0.968974299,2562.667969,7.185058594,1211291952,3353310,40.5,0,267.5
6147,3,150,150,100,tanh,lbfgs,adaptive,0.001,TRUE,0.9679751203,0.9675,0.9674859973,2580.834717,5.640869141,1199234715,3367355,39.9,0,267.5
6141,3,150,150,100,tanh,lbfgs,adaptive,0.01,TRUE,0.9705560908,0.97,0.9700510841,2894.627686,2.965820313,1119373960,3353720,39.6,0,267.4
6139,3,150,150,100,tanh,lbfgs,constant,0.01,TRUE,0.9677840591,0.9675,0.9674111328,3684.12207,7.487548828,1773363860,3360177,39.6,0,267
6145,3,150,150,100,tanh,lbfgs,constant,0.001,TRUE,0.9728829402,0.9725,0.9725414549,4558.768311,7.15625,1687853331,3382259,39.8,0,266.9
5829,3,150,100,150,tanh,lbfgs,adaptive,0.0001,TRUE,0.969144778,0.96875,0.9686934177,3079.112305,3.133789063,2067445398,3315931,39.1,0,266.8
6307,3,150,150,150,tanh,lbfgs,constant,0.001,TRUE,0.9646420299,0.96375,0.9637699841,3815.483643,7.649414063,1335014207,3685400,39.1,0,266.5
6318,3,150,150,150,tanh,lbfgs,invscaling,0.0001,FALSE,0.9727525897,0.9725,0.9724452724,2346.57373,7.487060547,1251916847,3715067,39,0,266.5
6304,3,150,150,150,tanh,lbfgs,adaptive,0.01,FALSE,0.9691811431,0.96875,0.9688050319,4567.760986,7.718505859,1948064173,3741443,38.8,0,266.5
6301,3,150,150,150,tanh,lbfgs,constant,0.01,TRUE,0.9692294757,0.96875,0.9687852714,3031.541016,13.13842773,1415538791,3649273,38.6,0,266.5
5818,3,150,100,150,tanh,lbfgs,adaptive,0.01,FALSE,0.9665749179,0.96625,0.9660922909,2468.668945,2.792480469,1621998682,3289625,38.6,0,266.5
2901,3,50,100,150,tanh,lbfgs,adaptive,0.01,TRUE,0.9599860189,0.96,0.9596809481,2718.349609,4.621826172,1713992621,2558260,39,0,266.4
6302,3,150,150,150,tanh,lbfgs,constant,0.01,FALSE,0.9657412049,0.965,0.9649963432,3659.707031,11.51513672,1578752759,3665363,39,0,266.3
3875,3,100,50,150,tanh,lbfgs,invscaling,0.01,TRUE,0.9651546004,0.965,0.96487992,2474.509033,5.110107422,1517111878,2585220,39,0,266.3
2909,3,50,100,150,tanh,lbfgs,invscaling,0.001,TRUE,0.9655810484,0.965,0.9649509038,2438.951904,4.677490234,1200753877,2584309,38.6,0,266.3
4845,3,100,150,150,tanh,lbfgs,adaptive,0.01,TRUE,0.9717562692,0.97125,0.9712063198,2911.333984,5.364990234,1706190278,3269392,39,0,266.2
4851,3,100,150,150,tanh,lbfgs,adaptive,0.001,TRUE,0.9701891717,0.97,0.9698633604,2719.614258,13.38110352,1447632445,3306821,38.9,0,266.2
6308,3,150,150,150,tanh,lbfgs,constant,0.001,FALSE,0.9746408152,0.97375,0.9738413682,4069.994141,13.24487305,1306105292,3683920,38.6,0,266.2
6148,3,150,150,100,tanh,lbfgs,adaptive,0.001,FALSE,0.9655820404,0.965,0.9649349938,3578.252441,6.986816406,1608240197,3372157,38.5,0,266.2
6312,3,150,150,150,tanh,lbfgs,invscaling,0.001,FALSE,0.9741312651,0.97375,0.9738072784,3900.487793,7.831054688,1351783503,3649034,38.7,0.2,266.1
4848,3,100,150,150,tanh,lbfgs,invscaling,0.01,FALSE,0.9657998534,0.965,0.9650755227,2777.247559,6.59375,2137096477,3295586,38.3,0,266.1
3886,3,100,50,150,tanh,lbfgs,adaptive,0.0001,FALSE,0.9636103716,0.9625,0.9625624233,3599.771729,4.995361328,845392835,2571967,38.8,0,266
6316,3,150,150,150,tanh,lbfgs,adaptive,0.0001,FALSE,0.9692871641,0.96875,0.9687359371,3038.343506,3.081542969,1819043094,3675095,38.5,0,266
3885,3,100,50,150,tanh,lbfgs,adaptive,0.0001,TRUE,0.9666277796,0.96625,0.9662583682,1611.847168,4.872558594,1150289805,2584080,39.2,0,265.9
6314,3,150,150,150,tanh,lbfgs,constant,0.0001,FALSE,0.9691905486,0.96875,0.9686170378,3175.340332,8.416015625,1479762162,3713056,39,0,265.9
6153,3,150,150,100,tanh,lbfgs,adaptive,0.0001,TRUE,0.973165572,0.9725,0.9724678441,2926.959717,6.849121094,1312295021,3361771,38.6,0,265.9
3233,3,50,150,100,tanh,lbfgs,invscaling,0.001,TRUE,0.9653430598,0.965,0.9650080505,2690.824707,4.885498047,1063458449,2823124,38.4,0,265.9
6310,3,150,150,150,tanh,lbfgs,adaptive,0.001,FALSE,0.9694710565,0.96875,0.9687991987,3394.277344,15.06884766,1614851467,3717781,38.3,0,265.9
6317,3,150,150,150,tanh,lbfgs,invscaling,0.0001,TRUE,0.971748653,0.97125,0.9712374828,3284.059326,7.386474609,1833353553,3621916,38.3,0,265.9
6315,3,150,150,150,tanh,lbfgs,adaptive,0.0001,TRUE,0.9680770676,0.9675,0.9674644726,4096.12207,3.125732422,1607263603,3667210,38.2,0,265.9
3874,3,100,50,150,tanh,lbfgs,adaptive,0.01,FALSE,0.9680220142,0.9675,0.9673698592,2781.387207,4.840576172,1704622159,2610686,38.1,0.2,265.9
3878,3,100,50,150,tanh,lbfgs,constant,0.001,FALSE,0.966508732,0.96625,0.9661962198,2521.601074,5.020751953,1077181683,2587652,38.1,0.2,265.9
6313,3,150,150,150,tanh,lbfgs,constant,0.0001,TRUE,0.9710011517,0.97,0.9702301799,3201.714355,8.140136719,1324784114,3705606,38.7,0,265.8
5819,3,150,100,150,tanh,lbfgs,invscaling,0.01,TRUE,0.9715574051,0.97125,0.9712741684,3084.169678,7.316894531,1284383503,3266854,38.7,0,265.8
6311,3,150,150,150,tanh,lbfgs,invscaling,0.001,TRUE,0.9683550792,0.9675,0.9677083911,2902.771973,12.8371582,1761528146,3629371,38.6,0,265.8
6303,3,150,150,150,tanh,lbfgs,adaptive,0.01,TRUE,0.971923369,0.97125,0.9712187288,2984.125977,9.850830078,1550278707,3687152,38.5,0,265.8
3876,3,100,50,150,tanh,lbfgs,invscaling,0.01,FALSE,0.9634873205,0.9625,0.9625156161,1729.903564,5.004638672,972969087,2604875,38.4,0,265.8
3883,3,100,50,150,tanh,lbfgs,constant,0.0001,TRUE,0.9618952807,0.96125,0.9612960131,2231.80542,5.126953125,914064602,2587098,38.2,0,265.8
3872,3,100,50,150,tanh,lbfgs,constant,0.01,FALSE,0.9703792314,0.97,0.9700238003,3679.474121,5.090332031,1422316562,2603298,38.1,0,265.8
6306,3,150,150,150,tanh,lbfgs,invscaling,0.01,FALSE,0.9755340391,0.975,0.9750713416,2612.690674,22.31616211,1448622339,3654528,38.8,0,265.7
5821,3,150,100,150,tanh,lbfgs,constant,0.001,TRUE,0.970083646,0.97,0.9699818331,2921.469482,9.447509766,1613401151,3377347,38.7,0,265.7
3228,3,50,150,100,tanh,lbfgs,invscaling,0.01,FALSE,0.9705593983,0.97,0.9699873406,3432.32251,2.477294922,1612134616,2565932,38.2,0,265.7
3239,3,50,150,100,tanh,lbfgs,invscaling,0.0001,TRUE,0.9554907922,0.955,0.954795461,2649.968018,4.870605469,862206101,2606497,38.4,0,265.6
3887,3,100,50,150,tanh,lbfgs,invscaling,0.0001,TRUE,0.9589653701,0.95875,0.9582976369,2123.656982,5.016357422,1175541640,2560330,38.2,0,265.6
6149,3,150,150,100,tanh,lbfgs,invscaling,0.001,TRUE,0.9668802278,0.96625,0.9662989154,3385.945801,7.068359375,1133091542,3362534,38.1,0,265.6
6151,3,150,150,100,tanh,lbfgs,constant,0.0001,TRUE,0.9568701783,0.95625,0.9563130952,3263.535156,7.472412109,1228985372,3505843,38,0,265.6
3232,3,50,150,100,tanh,lbfgs,adaptive,0.001,FALSE,0.9682302022,0.9675,0.967629079,2039.445801,4.694824219,1482463213,2595563,37.7,0.2,265.6
6309,3,150,150,150,tanh,lbfgs,adaptive,0.001,TRUE,0.9642730693,0.96375,0.963716191,3429.571045,13.71679688,1113572227,3699426,38.4,0,265.5
3229,3,50,150,100,tanh,lbfgs,constant,0.001,TRUE,0.9593567713,0.95875,0.958875187,3089.694092,4.764160156,1915278843,2566223,38.1,0,265.5
3871,3,100,50,150,tanh,lbfgs,constant,0.01,TRUE,0.9702456665,0.97,0.9698086996,3377.219238,5.10546875,1175694807,2591785,38.2,0,265.4
3882,3,100,50,150,tanh,lbfgs,invscaling,0.001,FALSE,0.9706546335,0.97,0.9699124107,2047.017334,5.004638672,1031685003,2561935,38.2,0,265.4
3881,3,100,50,150,tanh,lbfgs,invscaling,0.001,TRUE,0.9592840434,0.95875,0.9587330582,2258.104248,5.135253906,1207598852,2561589,38.2,0,265.4
6152,3,150,150,100,tanh,lbfgs,constant,0.0001,FALSE,0.9728037522,0.9725,0.9724081369,2674.66626,7.15625,1320229433,3363610,38.1,0,265.4
2904,3,50,100,150,tanh,lbfgs,invscaling,0.01,FALSE,0.9660115597,0.965,0.9648689855,3892.454346,10.52539063,902505015,2546076,37.7,0,265.4
6140,3,150,150,100,tanh,lbfgs,constant,0.01,FALSE,0.9702010067,0.97,0.969948008,3223.95752,7.631591797,1067488413,3388245,38.5,0,265.3
3877,3,100,50,150,tanh,lbfgs,constant,0.001,TRUE,0.9628623447,0.9625,0.9624575768,2146.475586,5.003662109,1034485311,2623962,38.4,0,265.3
3238,3,50,150,100,tanh,lbfgs,adaptive,0.0001,FALSE,0.975173881,0.975,0.9749808699,3247.35376,4.677246094,1447609083,2554460,38.2,0,265.3
3888,3,100,50,150,tanh,lbfgs,invscaling,0.0001,FALSE,0.9657104569,0.965,0.9650614529,1872.192871,5.115478516,1315400808,2589258,37.7,0,265.2
6146,3,150,150,100,tanh,lbfgs,constant,0.001,FALSE,0.9720740095,0.97125,0.9712148967,3816.751465,6.820800781,1415106325,3398607,37.5,0,265.2
2903,3,50,100,150,tanh,lbfgs,invscaling,0.01,TRUE,0.9611111782,0.96,0.9601126638,3271.732422,4.637451172,1834124905,2593371,38.1,0,265.1
