hidden_layer_size,number_of_hidden_layer,activation,solver,learning_rate,batch_size,epoch
20,2,identity,sgd,0.001,8,20
20,2,identity,sgd,0.001,8,40
20,2,identity,sgd,0.001,8,60
20,2,identity,sgd,0.001,8,80
20,2,identity,sgd,0.001,16,20
20,2,identity,sgd,0.001,16,40
20,2,identity,sgd,0.001,16,60
20,2,identity,sgd,0.001,16,80
20,2,identity,sgd,0.001,32,20
20,2,identity,sgd,0.001,32,40
20,2,identity,sgd,0.001,32,60
20,2,identity,sgd,0.001,32,80
20,2,identity,sgd,0.001,64,20
20,2,identity,sgd,0.001,64,40
20,2,identity,sgd,0.001,64,60
20,2,identity,sgd,0.001,64,80
20,2,identity,sgd,0.01,8,20
20,2,identity,sgd,0.01,8,40
20,2,identity,sgd,0.01,8,60
20,2,identity,sgd,0.01,8,80
20,2,identity,sgd,0.01,16,20
20,2,identity,sgd,0.01,16,40
20,2,identity,sgd,0.01,16,60
20,2,identity,sgd,0.01,16,80
20,2,identity,sgd,0.01,32,20
20,2,identity,sgd,0.01,32,40
20,2,identity,sgd,0.01,32,60
20,2,identity,sgd,0.01,32,80
20,2,identity,sgd,0.01,64,20
20,2,identity,sgd,0.01,64,40
20,2,identity,sgd,0.01,64,60
20,2,identity,sgd,0.01,64,80
20,2,identity,sgd,0.1,8,20
20,2,identity,sgd,0.1,8,40
20,2,identity,sgd,0.1,8,60
20,2,identity,sgd,0.1,8,80
20,2,identity,sgd,0.1,16,20
20,2,identity,sgd,0.1,16,40
20,2,identity,sgd,0.1,16,60
20,2,identity,sgd,0.1,16,80
20,2,identity,sgd,0.1,32,20
20,2,identity,sgd,0.1,32,40
20,2,identity,sgd,0.1,32,60
20,2,identity,sgd,0.1,32,80
20,2,identity,sgd,0.1,64,20
20,2,identity,sgd,0.1,64,40
20,2,identity,sgd,0.1,64,60
20,2,identity,sgd,0.1,64,80
20,2,identity,adam,0.001,8,20
20,2,identity,adam,0.001,8,40
20,2,identity,adam,0.001,8,60
20,2,identity,adam,0.001,8,80
20,2,identity,adam,0.001,16,20
20,2,identity,adam,0.001,16,40
20,2,identity,adam,0.001,16,60
20,2,identity,adam,0.001,16,80
20,2,identity,adam,0.001,32,20
20,2,identity,adam,0.001,32,40
20,2,identity,adam,0.001,32,60
20,2,identity,adam,0.001,32,80
20,2,identity,adam,0.001,64,20
20,2,identity,adam,0.001,64,40
20,2,identity,adam,0.001,64,60
20,2,identity,adam,0.001,64,80
20,2,identity,adam,0.01,8,20
20,2,identity,adam,0.01,8,40
20,2,identity,adam,0.01,8,60
20,2,identity,adam,0.01,8,80
20,2,identity,adam,0.01,16,20
20,2,identity,adam,0.01,16,40
20,2,identity,adam,0.01,16,60
20,2,identity,adam,0.01,16,80
20,2,identity,adam,0.01,32,20
20,2,identity,adam,0.01,32,40
20,2,identity,adam,0.01,32,60
20,2,identity,adam,0.01,32,80
20,2,identity,adam,0.01,64,20
20,2,identity,adam,0.01,64,40
20,2,identity,adam,0.01,64,60
20,2,identity,adam,0.01,64,80
20,2,identity,adam,0.1,8,20
20,2,identity,adam,0.1,8,40
20,2,identity,adam,0.1,8,60
20,2,identity,adam,0.1,8,80
20,2,identity,adam,0.1,16,20
20,2,identity,adam,0.1,16,40
20,2,identity,adam,0.1,16,60
20,2,identity,adam,0.1,16,80
20,2,identity,adam,0.1,32,20
20,2,identity,adam,0.1,32,40
20,2,identity,adam,0.1,32,60
20,2,identity,adam,0.1,32,80
20,2,identity,adam,0.1,64,20
20,2,identity,adam,0.1,64,40
20,2,identity,adam,0.1,64,60
20,2,identity,adam,0.1,64,80
20,2,sigmoid,sgd,0.001,8,20
20,2,sigmoid,sgd,0.001,8,40
20,2,sigmoid,sgd,0.001,8,60
20,2,sigmoid,sgd,0.001,8,80
20,2,sigmoid,sgd,0.001,16,20
20,2,sigmoid,sgd,0.001,16,40
20,2,sigmoid,sgd,0.001,16,60
20,2,sigmoid,sgd,0.001,16,80
20,2,sigmoid,sgd,0.001,32,20
20,2,sigmoid,sgd,0.001,32,40
20,2,sigmoid,sgd,0.001,32,60
20,2,sigmoid,sgd,0.001,32,80
20,2,sigmoid,sgd,0.001,64,20
20,2,sigmoid,sgd,0.001,64,40
20,2,sigmoid,sgd,0.001,64,60
20,2,sigmoid,sgd,0.001,64,80
20,2,sigmoid,sgd,0.01,8,20
20,2,sigmoid,sgd,0.01,8,40
20,2,sigmoid,sgd,0.01,8,60
20,2,sigmoid,sgd,0.01,8,80
20,2,sigmoid,sgd,0.01,16,20
20,2,sigmoid,sgd,0.01,16,40
20,2,sigmoid,sgd,0.01,16,60
20,2,sigmoid,sgd,0.01,16,80
20,2,sigmoid,sgd,0.01,32,20
20,2,sigmoid,sgd,0.01,32,40
20,2,sigmoid,sgd,0.01,32,60
20,2,sigmoid,sgd,0.01,32,80
20,2,sigmoid,sgd,0.01,64,20
20,2,sigmoid,sgd,0.01,64,40
20,2,sigmoid,sgd,0.01,64,60
20,2,sigmoid,sgd,0.01,64,80
20,2,sigmoid,sgd,0.1,8,20
20,2,sigmoid,sgd,0.1,8,40
20,2,sigmoid,sgd,0.1,8,60
20,2,sigmoid,sgd,0.1,8,80
20,2,sigmoid,sgd,0.1,16,20
20,2,sigmoid,sgd,0.1,16,40
20,2,sigmoid,sgd,0.1,16,60
20,2,sigmoid,sgd,0.1,16,80
20,2,sigmoid,sgd,0.1,32,20
20,2,sigmoid,sgd,0.1,32,40
20,2,sigmoid,sgd,0.1,32,60
20,2,sigmoid,sgd,0.1,32,80
20,2,sigmoid,sgd,0.1,64,20
20,2,sigmoid,sgd,0.1,64,40
20,2,sigmoid,sgd,0.1,64,60
20,2,sigmoid,sgd,0.1,64,80
20,2,sigmoid,adam,0.001,8,20
20,2,sigmoid,adam,0.001,8,40
20,2,sigmoid,adam,0.001,8,60
20,2,sigmoid,adam,0.001,8,80
20,2,sigmoid,adam,0.001,16,20
20,2,sigmoid,adam,0.001,16,40
20,2,sigmoid,adam,0.001,16,60
20,2,sigmoid,adam,0.001,16,80
20,2,sigmoid,adam,0.001,32,20
20,2,sigmoid,adam,0.001,32,40
20,2,sigmoid,adam,0.001,32,60
20,2,sigmoid,adam,0.001,32,80
20,2,sigmoid,adam,0.001,64,20
20,2,sigmoid,adam,0.001,64,40
20,2,sigmoid,adam,0.001,64,60
20,2,sigmoid,adam,0.001,64,80
20,2,sigmoid,adam,0.01,8,20
20,2,sigmoid,adam,0.01,8,40
20,2,sigmoid,adam,0.01,8,60
20,2,sigmoid,adam,0.01,8,80
20,2,sigmoid,adam,0.01,16,20
20,2,sigmoid,adam,0.01,16,40
20,2,sigmoid,adam,0.01,16,60
20,2,sigmoid,adam,0.01,16,80
20,2,sigmoid,adam,0.01,32,20
20,2,sigmoid,adam,0.01,32,40
20,2,sigmoid,adam,0.01,32,60
20,2,sigmoid,adam,0.01,32,80
20,2,sigmoid,adam,0.01,64,20
20,2,sigmoid,adam,0.01,64,40
20,2,sigmoid,adam,0.01,64,60
20,2,sigmoid,adam,0.01,64,80
20,2,sigmoid,adam,0.1,8,20
20,2,sigmoid,adam,0.1,8,40
20,2,sigmoid,adam,0.1,8,60
20,2,sigmoid,adam,0.1,8,80
20,2,sigmoid,adam,0.1,16,20
20,2,sigmoid,adam,0.1,16,40
20,2,sigmoid,adam,0.1,16,60
20,2,sigmoid,adam,0.1,16,80
20,2,sigmoid,adam,0.1,32,20
20,2,sigmoid,adam,0.1,32,40
20,2,sigmoid,adam,0.1,32,60
20,2,sigmoid,adam,0.1,32,80
20,2,sigmoid,adam,0.1,64,20
20,2,sigmoid,adam,0.1,64,40
20,2,sigmoid,adam,0.1,64,60
20,2,sigmoid,adam,0.1,64,80
20,2,tanh,sgd,0.001,8,20
20,2,tanh,sgd,0.001,8,40
20,2,tanh,sgd,0.001,8,60
20,2,tanh,sgd,0.001,8,80
20,2,tanh,sgd,0.001,16,20
20,2,tanh,sgd,0.001,16,40
20,2,tanh,sgd,0.001,16,60
20,2,tanh,sgd,0.001,16,80
20,2,tanh,sgd,0.001,32,20
20,2,tanh,sgd,0.001,32,40
20,2,tanh,sgd,0.001,32,60
20,2,tanh,sgd,0.001,32,80
20,2,tanh,sgd,0.001,64,20
20,2,tanh,sgd,0.001,64,40
20,2,tanh,sgd,0.001,64,60
20,2,tanh,sgd,0.001,64,80
20,2,tanh,sgd,0.01,8,20
20,2,tanh,sgd,0.01,8,40
20,2,tanh,sgd,0.01,8,60
20,2,tanh,sgd,0.01,8,80
20,2,tanh,sgd,0.01,16,20
20,2,tanh,sgd,0.01,16,40
20,2,tanh,sgd,0.01,16,60
20,2,tanh,sgd,0.01,16,80
20,2,tanh,sgd,0.01,32,20
20,2,tanh,sgd,0.01,32,40
20,2,tanh,sgd,0.01,32,60
20,2,tanh,sgd,0.01,32,80
20,2,tanh,sgd,0.01,64,20
20,2,tanh,sgd,0.01,64,40
20,2,tanh,sgd,0.01,64,60
20,2,tanh,sgd,0.01,64,80
20,2,tanh,sgd,0.1,8,20
20,2,tanh,sgd,0.1,8,40
20,2,tanh,sgd,0.1,8,60
20,2,tanh,sgd,0.1,8,80
20,2,tanh,sgd,0.1,16,20
20,2,tanh,sgd,0.1,16,40
20,2,tanh,sgd,0.1,16,60
20,2,tanh,sgd,0.1,16,80
20,2,tanh,sgd,0.1,32,20
20,2,tanh,sgd,0.1,32,40
20,2,tanh,sgd,0.1,32,60
20,2,tanh,sgd,0.1,32,80
20,2,tanh,sgd,0.1,64,20
20,2,tanh,sgd,0.1,64,40
20,2,tanh,sgd,0.1,64,60
20,2,tanh,sgd,0.1,64,80
20,2,tanh,adam,0.001,8,20
20,2,tanh,adam,0.001,8,40
20,2,tanh,adam,0.001,8,60
20,2,tanh,adam,0.001,8,80
20,2,tanh,adam,0.001,16,20
20,2,tanh,adam,0.001,16,40
20,2,tanh,adam,0.001,16,60
20,2,tanh,adam,0.001,16,80
20,2,tanh,adam,0.001,32,20
20,2,tanh,adam,0.001,32,40
20,2,tanh,adam,0.001,32,60
20,2,tanh,adam,0.001,32,80
20,2,tanh,adam,0.001,64,20
20,2,tanh,adam,0.001,64,40
20,2,tanh,adam,0.001,64,60
